Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
61,93,60,5495971,4097393
159,93,158,4041204,2642626
259,93,259,2989136,1590558
360,93,359,2265401,866823
460,93,460,2050299,651721
560,93,560,1584461,185883
666,93,664,1663094,264516
767,93,765,1679980,281402
869,93,866,1713752,315174
969,93,967,1488605,90027
1071,93,1069,1813220,414642
1177,93,1174,1499682,101104
1275,93,1274,1512542,113964
1365,93,1365,2173264,774686
1466,93,1465,1465679,67101
1566,93,1565,1410450,11872
1667,93,1666,1250031,0
1768,93,1767,1199194,0
1869,93,1868,1318833,0
1969,93,1968,1244298,0
2070,93,2069,1192046,0
2170,93,2170,1261706,0
2271,93,2271,1128757,0
2391,93,2387,1352753,0
2484,93,2481,1518220,119642
2587,93,2585,1245506,0
2690,93,2687,1214726,0
2779,93,2778,2294082,895504
2885,93,2882,1474509,75931
2992,93,2989,1248746,0
3091,93,3088,1337302,0
3188,93,3185,1391920,0
3288,93,3286,1425261,26683
3398,93,3394,1202542,0
3486,93,3484,1754020,355442
3588,93,3587,1574762,176184
3688,93,3686,1921237,522659
3789,93,3787,1654280,255702
3891,93,3889,1699163,300585
3989,93,3987,1529604,131026
4088,93,4087,2114829,716251
4191,93,4189,1484721,86143
4295,93,4292,1539578,141000
4396,93,4393,1639319,240741
4495,93,4493,1965531,566953
4597,93,4595,1577072,178494
4693,93,4691,1785005,386427
4799,93,4792,1792175,393597
4892,93,4890,2193700,795122
4994,93,4993,2308422,909844
5099,93,5097,2444654,1046076
5195,93,5194,2220912,822334
5296,93,5295,2000108,601530
5398,93,5396,1702494,303916
5498,93,5496,2035958,637380
5600,93,5598,1869442,470864
5700,93,5698,1863734,465156
5801,93,5799,2148000,749422
5900,93,5898,1778955,380377
5999,93,5998,2181785,783207
6099,93,6097,2031213,632635
6200,93,6198,2332357,933779
6300,93,6298,1995362,596784
6404,93,6401,1893597,495019
6504,93,6502,1838740,440162
6605,93,6602,1763935,365357
6705,93,6703,1833753,435175
6807,93,6805,1709078,310500
6908,93,6905,1679156,280578
7010,93,7008,1437340,38762
7107,93,7105,1654280,255702
7212,93,7210,1482029,83451
7315,93,7312,1408845,10267
7412,93,7409,1464659,66081
7515,93,7513,1698290,299712
7623,93,7617,1737192,338614
7715,93,7712,1953500,554922
7815,93,7812,1833812,435234
7915,93,7913,1833812,435234
8014,93,8013,2189324,790746
8105,93,8104,2166345,767767
8205,93,8204,1614281,215703
8305,93,8305,1645971,247393
8406,93,8405,1545019,146441
8508,93,8507,1364577,0
8608,93,8607,1544555,145977
8708,93,8707,1271552,0
8808,93,8807,1866670,468092
8908,93,8908,1895350,496772
9009,93,9009,1959881,561303
9110,93,9110,2038752,640174
9217,93,9215,1888180,489602
9317,93,9315,1981392,582814
9418,93,9416,1605513,206935
9519,93,9517,1619360,220782
9620,93,9618,1559526,160948
9718,93,9716,1734814,336236
9826,93,9824,1241402,0
9926,93,9924,1328379,0
10026,93,10022,1320202,0
10127,93,10124,1338292,0
10227,93,10225,1284664,0
10328,93,10325,1359248,0
10433,93,10430,1632670,234092
10530,93,10527,2194319,795741
10630,93,10627,1744046,345468
10730,93,10728,1639319,240741
10832,93,10829,1768981,370403
10931,93,10929,1798903,400325
11032,93,11030,1724098,325520
11131,93,11129,2181192,782614
11232,93,11230,1898633,500055
11334,93,11331,1798893,400315
11432,93,11430,2253855,855277
11535,93,11532,1606213,207635
11637,93,11635,1660513,261935
11733,93,11731,1823828,425250
11835,93,11832,2043234,644656
11933,93,11932,2196494,797916
12032,93,12030,1629335,230757
12134,93,12132,1684192,285614
12235,93,12233,1974771,576193
12335,93,12333,1599422,200844
12434,93,12432,1699163,300585
12537,93,12535,1634332,235754
12640,93,12637,1418694,20116
12742,93,12739,1467942,69364
12840,93,12837,1384349,0
12939,93,12937,1435110,36532
13039,93,13036,1639319,240741
13139,93,13137,1694166,295588
13241,93,13239,1573119,174541
13344,93,13340,1573119,174541
13445,93,13441,2090850,692272
13547,93,13545,1549542,150964
13647,93,13644,2153474,754896
13743,93,13742,2096113,697535
13835,93,13835,1897778,499200
