Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
40,100,37,2859431,1675866
94,100,93,3553081,2369516
191,100,191,4821744,3638179
291,100,291,2416759,1233194
392,100,391,1843378,659813
493,100,492,1539578,356013
593,100,592,1529604,346039
694,100,693,1579474,395909
794,100,793,1365033,181468
896,100,895,1195475,11910
995,100,995,1625079,441514
1096,100,1096,1428738,245173
1200,100,1199,1462259,278694
1297,100,1296,1504058,320493
1398,100,1397,1267667,84102
1504,100,1502,1924299,740734
1605,100,1604,1689189,505624
1707,100,1705,1379296,195731
1807,100,1805,1451526,267961
1912,100,1909,1334879,151314
2014,100,2011,1239026,55461
2111,100,2109,1282332,98767
2214,100,2211,1250031,66466
2316,100,2313,1221364,37799
2418,100,2414,1217966,34401
2513,100,2511,1334147,150582
2611,100,2609,1614384,430819
2714,100,2712,1362037,178472
2815,100,2813,1513907,330342
2909,100,2908,2344272,1160707
3010,100,3009,1828026,644461
3112,100,3111,1434851,251286
3212,100,3211,1409916,226351
3315,100,3313,1376013,192448
3419,100,3416,1190785,7220
3517,100,3515,1320202,136637
3622,100,3620,1195846,12281
3721,100,3717,1389927,206362
3823,100,3820,1248120,64555
3925,100,3922,1255765,72200
4020,100,4018,1456862,273297
4123,100,4120,1256684,73119
4224,100,4221,1305649,122084
4325,100,4322,1267232,83667
4428,100,4424,1255226,71661
4528,100,4526,1310306,126741
4627,100,4625,1240475,56910
4721,100,4719,2128233,944668
4824,100,4822,1583974,400409
4921,100,4920,2530695,1347130
5022,100,5020,2265401,1081836
5126,100,5124,1494695,311130
5224,100,5223,2151840,968275
5319,100,5318,1590170,406605
5430,100,5428,1261633,78068
5530,100,5527,1307980,124415
5630,100,5628,1284664,101099
5735,100,5732,1251986,68421
5832,100,5829,1273006,89441
5933,100,5931,1246209,62644
6036,100,6033,1154786,0
6136,100,6133,1196906,13341
6235,100,6233,1269143,85578
6337,100,6334,1234742,51177
6439,100,6435,1196906,13341
6535,100,6533,1392716,209151
6636,100,6634,1326633,143068
6740,100,6737,1198526,14961
6839,100,6836,1284432,100867
6942,100,6940,1260086,76521
7043,100,7041,1230926,47361
7141,100,7138,1334123,150558
7240,100,7238,1363940,180375
7342,100,7340,1244298,60733
7445,100,7442,1240646,57081
7545,100,7542,1250366,66801
7652,100,7648,1185803,2238
7742,100,7740,1398995,215430
7848,100,7845,1295726,112161
7940,100,7938,1978435,794870
8041,100,8040,2912049,1728484
8144,100,8142,2249592,1066027
8244,100,8241,1785005,601440
8350,100,8347,1415411,231846
8448,100,8446,2308422,1124857
8549,100,8546,1777835,594270
8649,100,8647,1732311,548746
8753,100,8752,1856706,673141
8838,100,8837,1743954,560389
8946,100,8944,1408845,225280
9053,100,9046,1834856,651291
9148,100,9146,3324051,2140486
9251,100,9249,1818212,634647
9348,100,9346,1823119,639554
9448,100,9445,1612923,429358
9551,100,9549,1454799,271234
9653,100,9651,1604409,420844
9756,100,9753,1431827,248262
9859,100,9856,1290166,106601
9958,100,9955,1261347,77782
10058,100,10056,1459651,276086
10159,100,10156,1266011,82446
10253,100,10252,2294082,1110517
10354,100,10352,1749155,565590
10459,100,10456,1349747,166182
10557,100,10555,2053972,870407
10659,100,10656,1518627,335062
10763,100,10760,917069,0
10864,100,10862,847328,0
10967,100,10963,775087,0
11067,100,11063,822786,0
11167,100,11164,781696,0
11260,100,11258,1841120,657555
11366,100,11363,870554,0
11468,100,11465,915284,0
11567,100,11565,836188,0
11669,100,11666,894757,0
11768,100,11765,818956,0
11866,100,11864,946866,0
11967,100,11964,1011697,0
12069,100,12066,897753,0
12169,100,12167,1026620,0
12271,100,12268,799931,0
12376,100,12372,741067,0
12473,100,12470,821680,0
12572,100,12569,930585,0
12672,100,12670,1086503,0
12773,100,12770,943941,0
12872,100,12870,920736,0
12971,100,12969,1111438,0
13072,100,13069,986762,0
13174,100,13172,822240,0
13276,100,13274,869656,0
13374,100,13372,1121412,0
13476,100,13473,904319,0
13577,100,13574,891187,0
13682,100,13676,826343,0
13782,100,13779,753984,0
13883,100,13880,782651,0
13982,100,13979,851991,0
14086,100,14082,724867,0
14190,100,14186,701235,0
14279,100,14276,1435593,252028
14380,100,14378,1280996,97431
14484,100,14481,811087,0
14587,100,14584,1303544,119979
14682,100,14680,1739059,555494
14781,100,14780,1668722,485157
14880,100,14877,1498201,314636
14982,100,14980,1577072,393507
15082,100,15080,1641603,458038
15183,100,15180,1726308,542743
15284,100,15282,1524617,341052
15385,100,15383,1499682,316117
15485,100,15483,1614384,430819
15585,100,15583,1634332,450767
15686,100,15684,1549552,365987
15786,100,15784,1589448,405883
15886,100,15884,1826325,642760
15986,100,15984,1574762,391197
16087,100,16085,1653830,470265
16187,100,16185,1612923,429358
16237,100,16235,1727644,544079
16338,100,16336,1779019,595454
16440,100,16438,1785608,602043
16537,100,16536,1390650,207085
16651,100,16647,1123354,0
16745,100,16742,1495908,312343
16846,100,16843,1307980,124415
16945,100,16943,1406661,223096
17048,100,17045,1310312,126747
17149,100,17145,1377930,194365
17245,100,17242,2566545,1382980
17346,100,17343,2116799,933234
17449,100,17446,1882335,698770
17550,100,17547,1848254,664689
17648,100,17645,1928407,744842
17745,100,17743,2071809,888244
17850,100,17847,1441677,258112
17951,100,17948,1435110,251545
18049,100,18046,1559526,375961
18150,100,18148,1793916,610351
18253,100,18250,1402278,218713
18351,100,18349,1669241,485676
18453,100,18451,1478015,294450
18552,100,18550,1121412,0
18651,100,18649,1201005,17440
18753,100,18750,1016684,0
18854,100,18851,976788,0
18954,100,18951,1136373,0
19054,100,19052,1161308,0
19160,100,19157,809407,0
19260,100,19257,804720,0
19363,100,19359,757806,0
19464,100,19460,741067,0
19565,100,19562,749167,0
19665,100,19662,720007,0
19770,100,19765,739611,0
19864,100,19861,842664,0
19965,100,19962,872976,0
20069,100,20065,763747,0
20162,100,20160,841939,0
20262,100,20260,907031,0
20355,100,20354,1373087,189522
20455,100,20454,1131363,0
20555,100,20554,1121412,0
20656,100,20655,1161308,0
20756,100,20755,1142789,0
20856,100,20856,992537,0
20959,100,20958,668795,0
21061,100,21060,753354,0
21159,100,21158,1712916,529351
21266,100,21265,990155,0
21365,100,21363,1350814,167249
21469,100,21466,1781783,598218
21570,100,21567,1522983,339418
21668,100,21666,1172070,0
21770,100,21767,1136373,0
21869,100,21867,1016684,0
21970,100,21968,1041619,0
22076,100,22073,764673,0
22174,100,22171,931014,0
22278,100,22275,824697,0
22377,100,22374,803026,0
22477,100,22474,865082,0
22581,100,22578,750787,0
22678,100,22675,1338292,154727
22779,100,22776,1286995,103430
22882,100,22879,1253854,70289
22988,100,22983,1192499,8934
23081,100,23079,1289327,105762
23181,100,23179,1389927,206362
23281,100,23278,1359248,175683
23384,100,23381,1265321,81756
23486,100,23483,1315011,131446
23582,100,23580,1520474,336909
23685,100,23682,1335960,152395
23787,100,23784,1274876,91311
23886,100,23883,1367615,184050
23988,100,23984,1321970,138405
24088,100,24085,1326633,143068
24188,100,24185,1392429,208864
24285,100,24283,1749155,565590
24386,100,24384,1584461,400896
24493,100,24488,1639319,455754
24584,100,24582,2215211,1031646
24679,100,24678,1359597,176032
24789,100,24787,1374425,190860
24888,100,24885,1423395,239830
24989,100,24987,1342514,158949
25089,100,25086,1339898,156333
25191,100,25188,1295101,111536
25291,100,25289,1240363,56798
25395,100,25392,1239026,55461
25495,100,25493,1269143,85578
25594,100,25592,1286995,103430
25696,100,25693,1270674,87109
25795,100,25793,1282332,98767
25895,100,25893,1317413,133848
25995,100,25993,1330048,146483
26098,100,26095,1407082,223517
26200,100,26197,1265321,81756
26304,100,26301,1189480,5915
26405,100,26402,1311926,128361
26503,100,26500,1301633,118068
26603,100,26600,896292,0
26705,100,26702,736207,0
26803,100,26801,906970,0
26897,100,26895,1358747,175182
26999,100,26997,1136373,0
27100,100,27098,1146347,0
27201,100,27199,1186243,2678
27301,100,27299,1166295,0
27401,100,27400,1066555,0
27502,100,27500,1141360,0
27602,100,27600,1131363,0
27703,100,27701,1238307,54742
27802,100,27800,1695742,512177
27903,100,27902,1142620,0
28004,100,28002,837152,0
28105,100,28103,1030046,0
28205,100,28204,1125734,0
28309,100,28306,835372,0
28413,100,28411,781567,0
28514,100,28512,799387,0
28615,100,28612,749167,0
28716,100,28713,729727,0
28816,100,28813,746339,0
28917,100,28914,786473,0
29018,100,29015,799852,0
29118,100,29115,765451,0
29220,100,29217,749167,0
29319,100,29316,759717,0
29420,100,29417,745927,0
29521,100,29517,786473,0
29622,100,29619,971884,0
29723,100,29720,1263326,79761
29824,100,29821,1297810,114245
29924,100,29921,1330300,146735
30024,100,30021,1307366,123801
30126,100,30123,1295726,112161
30224,100,30221,1414392,230827
30324,100,30321,1286734,103169
30429,100,30425,1235786,52221
30525,100,30523,1340623,157058
30627,100,30624,1413739,230174
30730,100,30726,1235786,52221
30828,100,30825,1303355,119790
30931,100,30928,1187186,3621
31028,100,31025,1340354,156789
31129,100,31126,1282332,98767
31225,100,31223,2128233,944668
31328,100,31326,1504756,321191
31429,100,31427,1421978,238413
31530,100,31528,1401083,217518
31632,100,31629,1293990,110425
31735,100,31732,1194607,11042
31834,100,31832,1368603,185038
31934,100,31932,1263679,80114
32036,100,32033,1347618,164053
32135,100,32132,1317413,133848
32236,100,32233,1348092,164527
32332,100,32330,1375007,191442
32435,100,32433,1412128,228563
32534,100,32532,1444825,261260
32583,100,32582,1709137,525572
32688,100,32685,1366163,182598
32788,100,32785,1372730,189165
32885,100,32883,1520689,337124
32985,100,32983,1971428,787863
33086,100,33084,1798786,615221
33187,100,33185,1825132,641567
33286,100,33284,1885386,701821
33386,100,33384,2071809,888244
33486,100,33485,1906897,723332
33587,100,33585,1466299,282734
33688,100,33686,1394598,211033
33789,100,33787,1232679,49114
33890,100,33888,1116337,0
33991,100,33989,1116425,0
34089,100,34087,1136104,0
34198,100,34195,864921,0
34292,100,34290,2082927,899362
34393,100,34391,2262179,1078614
