Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
27,73,25,2092714,1320046
86,73,85,2053032,1280364
187,73,185,2965952,2193284
286,73,285,2220819,1448151
388,73,387,3745692,2973024
489,73,488,1943264,1170596
589,73,589,1279128,506460
690,73,689,1118460,345792
790,73,789,817344,44676
890,73,890,891956,119288
991,73,990,815173,42505
1092,73,1091,832745,60077
1206,73,1203,732967,0
1303,73,1300,842664,69996
1408,73,1404,805867,33199
1505,73,1502,822786,50118
1614,73,1610,719089,0
1707,73,1705,960134,187466
1805,73,1802,947001,174333
1908,73,1905,973267,200599
2006,73,2004,966700,194032
2102,73,2101,1695742,923074
2203,73,2202,1093454,320786
2305,73,2303,882035,109367
2407,73,2405,858500,85832
2510,73,2508,828675,56007
2610,73,2608,880812,108144
2710,73,2707,819454,46786
2811,73,2809,786705,14037
2915,73,2912,885153,112485
3009,73,3007,1182091,409423
3113,73,3109,927302,154634
3208,73,3207,1241527,468859
3309,73,3307,1011697,239029
3412,73,3410,996736,224068
3513,73,3511,989683,217015
3620,73,3617,753984,0
3720,73,3717,898624,125956
3826,73,3822,753952,0
3917,73,3915,2570493,1797825
4017,73,4015,1631211,858543
4118,73,4116,1093454,320786
4212,73,4211,1122200,349532
4312,73,4311,1127828,355160
4412,73,4411,1436544,663876
4521,73,4519,959198,186530
4623,73,4621,879971,107303
4726,73,4723,771847,0
4820,73,4818,917452,144784
4926,73,4923,767362,0
5024,73,5022,1178519,405851
5119,73,5118,1430448,657780
5220,73,5219,1509319,736651
5320,73,5318,1595360,822692
5422,73,5420,1226139,453471
5528,73,5525,757806,0
5623,73,5621,1495437,722769
5731,73,5727,775006,2338
5830,73,5827,811319,38651
5930,73,5928,805585,32917
6029,73,6026,889179,116511
6132,73,6129,721494,0
6235,73,6232,771847,0
6330,73,6328,961693,189025
6436,73,6433,760507,0
6535,73,6532,782651,9983
6637,73,6634,721494,0
6735,73,6733,790296,17628
6837,73,6834,779710,7042
6936,73,6934,868313,95645
7036,73,7034,807690,35022
7138,73,7135,805358,32690
7239,73,7236,736783,0
7340,73,7338,745270,0
7437,73,7435,749729,0
7534,73,7533,1166295,393627
7635,73,7633,996736,224068
7738,73,7736,833399,60731
7836,73,7834,1221152,448484
7939,73,7937,919501,146833
8036,73,8035,1093454,320786
8135,73,8134,1201005,428337
8236,73,8234,1116337,343669
8336,73,8335,1346950,574282
8437,73,8435,1344407,571739
8537,73,8536,1201005,428337
8637,73,8636,1215345,442677
8738,73,8736,1336663,563995
8839,73,8837,1616871,844203
8940,73,8938,1373395,600727
9040,73,9038,1724422,951754
9140,73,9138,1380257,607589
9241,73,9240,1373305,600637
9342,73,9340,1103159,330491
9458,73,9453,630935,0
9556,73,9550,760507,0
9650,73,9647,840333,67665
9753,73,9749,700434,0
9850,73,9847,850133,77465
9954,73,9951,755895,0
10055,73,10053,851991,79323
10152,73,10149,833399,60731
10254,73,10252,875234,102566
10356,73,10352,838001,65333
10456,73,10454,807690,35022
10554,73,10553,865981,93313
10658,73,10657,501659,0
10761,73,10758,482220,0
10864,73,10863,482310,0
10959,73,10957,601122,0
11059,73,11058,546117,0
11160,73,11159,592864,0
11263,73,11260,469746,0
11363,73,11361,599705,0
11461,73,11459,632320,0
11561,73,11560,693677,0
11658,73,11657,931747,159079
11762,73,11761,792944,20276
11865,73,11863,597794,0
11965,73,11963,626770,0
12064,73,12063,629531,0
12163,73,12162,748569,0
12266,73,12265,575474,0
12372,73,12371,771769,0
12462,73,12461,2322400,1549732
12562,73,12561,2158208,1385540
12663,73,12662,1445350,672682
12763,73,12762,2232927,1460259
12865,73,12864,2499767,1727099
12921,73,12920,2461237,1688569
13024,73,13023,2508409,1735741
13125,73,13124,2759362,1986694
13225,73,13224,2054808,1282140
13325,73,13324,1886496,1113828
13426,73,13425,1776679,1004011
13526,73,13525,1726488,953820
13627,73,13626,1747998,975330
13727,73,13727,1468364,695696
13829,73,13828,1511385,738717
13930,73,13929,1454024,681356
14030,73,14029,1382323,609655
14131,73,14130,1640447,867779
14231,73,14230,1676297,903629
14332,73,14331,1439684,667016
14431,73,14430,1719318,946650
14532,73,14531,1791019,1018351
14633,73,14632,1583086,810418
14733,73,14732,1654787,882119
14834,73,14833,1267602,494934
14934,73,14933,1869890,1097222
15034,73,15033,1755168,982500
15135,73,15134,1676297,903629
15237,73,15236,1762338,989670
15336,73,15336,1935289,1162621
15437,73,15436,1525725,753057
15539,73,15538,1274772,502104
15639,73,15638,1798189,1025521
15739,73,15738,1855550,1082882
15839,73,15838,1755168,982500
15937,73,15937,1740828,968160
16041,73,16040,1439684,667016
16141,73,16140,1906609,1133941
16241,73,16240,1848379,1075711
16342,73,16341,1697807,925139
16442,73,16440,1747998,975330
16540,73,16540,2057445,1284777
16644,73,16643,1317792,545124
16743,73,16742,1583086,810418
16844,73,16843,1504215,731547
16944,73,16943,1633277,860609
17044,73,17043,1697807,925139
17146,73,17144,1618936,846268
17247,73,17245,1267602,494934
17346,73,17345,1755168,982500
17445,73,17444,1704978,932310
17546,73,17545,1188731,416063
17646,73,17645,1002308,229640
17754,73,17753,427910,0
17855,73,17853,559153,0
17957,73,17954,666489,0
18053,73,18052,812059,39391
18149,73,18148,1877060,1104392
18251,73,18250,1030989,258321
18353,73,18352,802085,29417
18457,73,18455,574560,0
18557,73,18556,732153,0
18656,73,18655,748569,0
18759,73,18757,650073,0
18855,73,18854,906812,134144
18955,73,18954,712319,0
19058,73,19057,646790,0
19161,73,19159,728870,0
19262,73,19260,671366,0
19359,73,19358,941721,169053
19459,73,19458,787124,14456
19558,73,19557,1231751,459083
19655,73,19654,914709,142041
19754,73,19754,869826,97158
19855,73,19854,682905,0
19955,73,19955,542592,0
20056,73,20055,552268,0
20156,73,20156,596052,0
20257,73,20256,596225,0
20358,73,20357,469260,0
20473,73,20471,440379,0
20567,73,20566,854167,81499
20665,73,20664,911799,139131
20767,73,20766,797098,24430
