Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
87,100,84,2250782,1387107
184,100,182,2859494,1995819
282,100,281,3003225,2139550
381,100,380,2436459,1572784
481,100,481,1972014,1108339
582,100,580,1300312,436637
683,100,682,1301854,438179
782,100,781,1132174,268499
882,100,881,1090150,226475
983,100,982,1107880,244205
1083,100,1082,797256,0
1185,100,1184,620892,0
1285,100,1284,732967,0
1386,100,1385,698947,0
1498,100,1495,751236,0
1600,100,1597,790956,0
1700,100,1697,750712,0
1799,100,1796,779710,0
1900,100,1897,748623,0
1997,100,1994,930585,66910
2098,100,2096,832089,0
2203,100,2200,788047,0
2303,100,2300,796029,0
2403,100,2400,860819,0
2509,100,2506,731443,0
2602,100,2600,875234,11559
2705,100,2702,794118,0
2807,100,2804,758887,0
2900,100,2898,1495437,631762
2999,100,2997,1946695,1083020
3103,100,3100,951853,88178
3202,100,3200,1166295,302620
3304,100,3302,1116425,252750
3407,100,3404,1025798,162123
3508,100,3505,979833,116158
3605,100,3603,1141360,277685
3707,100,3704,1146347,282672
3810,100,3807,878023,14348
3915,100,3912,741067,0
4018,100,4014,811531,0
4112,100,4110,849659,0
4212,100,4211,712454,0
4314,100,4313,539429,0
4415,100,4413,559153,0
4518,100,4516,538920,0
4617,100,4616,490769,0
4717,100,4715,517183,0
4817,100,4816,512520,0
4911,100,4910,1389493,525818
5014,100,5013,1740828,877153
5115,100,5114,1661957,798282
5214,100,5213,1334399,470724
5315,100,5314,1028892,165217
5416,100,5415,906812,43137
5524,100,5522,517525,0
5627,100,5626,488700,0
5726,100,5725,503193,0
5825,100,5823,590485,0
5925,100,5924,590485,0
6025,100,6023,581126,0
6126,100,6125,607219,0
6226,100,6225,689472,0
6329,100,6327,635109,0
6425,100,6424,881877,18202
6526,100,6525,807072,0
6633,100,6632,649054,0
6729,100,6727,689472,0
6829,100,6828,633657,0
6932,100,6931,587132,0
7036,100,7034,525960,0
7134,100,7133,561482,0
7236,100,7235,534726,0
7338,100,7336,529200,0
7438,100,7436,584801,0
7539,100,7538,524594,0
7641,100,7639,517785,0
7733,100,7732,1225981,362306
7838,100,7836,554489,0
7939,100,7938,688099,0
8041,100,8040,615990,0
8138,100,8136,1690637,826962
8232,100,8231,1098028,234353
8332,100,8331,855177,0
8432,100,8431,782773,0
8532,100,8531,1896972,1033297
8633,100,8632,2132043,1268368
8733,100,8732,1724422,860747
8834,100,8833,920089,56414
8935,100,8934,713527,0
9035,100,9034,711907,0
9136,100,9135,686729,0
9254,100,9250,696099,0
9349,100,9346,768276,0
9452,100,9449,752407,0
9569,100,9563,712722,0
9651,100,9648,1169796,306121
9753,100,9750,943552,79877
9853,100,9850,833338,0
9953,100,9950,817052,0
10053,100,10050,979833,116158
10155,100,10152,849659,0
10256,100,10254,567216,0
10358,100,10356,534060,0
10460,100,10458,501659,0
10556,100,10555,673056,0
10655,100,10654,630374,0
10758,100,10756,526867,0
10859,100,10858,584907,0
10959,100,10957,604430,0
11058,100,11057,587692,0
11160,100,11158,669772,0
11261,100,11259,716338,0
11363,100,11362,596459,0
11467,100,11465,522720,0
11565,100,11563,703715,0
11669,100,11667,488700,0
11768,100,11766,550260,0
11869,100,11867,530819,0
11970,100,11969,538548,0
12070,100,12069,515614,0
12168,100,12167,671072,0
12269,100,12267,589464,0
12369,100,12368,568479,0
12469,100,12467,665788,0
12574,100,12572,482219,0
12674,100,12672,534060,0
12780,100,12777,439907,0
12874,100,12872,587132,0
12973,100,12971,645424,0
13074,100,13073,493559,0
13168,100,13167,844566,0
13269,100,13267,957222,93547
13372,100,13369,1021753,158078
13471,100,13468,1430448,566773
13572,100,13570,1591064,727389
13672,100,13670,1473469,609794
13770,100,13768,1738762,875087
13873,100,13871,1201005,337330
13973,100,13971,1537999,674324
14073,100,14071,1244026,380351
14174,100,14172,1081516,217841
14276,100,14273,1216165,352490
14375,100,14373,1101464,237789
14427,100,14424,1111438,247763
14527,100,14524,1071542,207867
14628,100,14626,1196217,332542
14729,100,14726,1106451,242776
14829,100,14826,1227050,363375
14930,100,14928,996736,133061
15030,100,15027,1131386,267711
15130,100,15127,1125734,262059
15231,100,15229,1136373,272698
15332,100,15329,1156321,292646
15430,100,15428,1149282,285607
15533,100,15530,981775,118100
15633,100,15630,1216165,352490
15733,100,15730,1011697,148022
