Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
40,100,37,2235982,1123684
101,100,99,3133688,2021390
201,100,198,2583063,1470765
298,100,297,2930121,1817823
400,100,398,2011812,899514
500,100,498,2256878,1144580
601,100,598,2011226,898928
701,100,699,1337237,224939
803,100,801,956840,0
902,100,900,1122134,9836
1003,100,1001,1061568,0
1104,100,1102,931905,0
1207,100,1204,871488,0
1308,100,1306,883601,0
1410,100,1406,825523,0
1505,100,1503,1745932,633634
1606,100,1604,926918,0
1705,100,1703,1222515,110217
1806,100,1804,1101464,0
1923,100,1918,597703,0
2013,100,2010,956115,0
2115,100,2112,789037,0
2215,100,2212,814685,0
2316,100,2315,778925,0
2416,100,2415,561482,0
2515,100,2514,526510,0
2616,100,2614,657772,0
2715,100,2714,612797,0
2817,100,2816,643092,0
2918,100,2917,678067,0
3014,100,3013,906812,0
3115,100,3114,861929,0
3216,100,3215,966657,0
3318,100,3317,709171,0
3417,100,3417,987237,0
3517,100,3516,856942,0
3617,100,3616,1072869,0
3718,100,3718,807072,0
3821,100,3819,774662,0
3922,100,3921,643476,0
4019,100,4018,1041462,0
4120,100,4119,911799,0
4219,100,4218,1145710,33412
4321,100,4320,1001566,0
4426,100,4424,652419,0
4527,100,4525,657082,0
4624,100,4623,866916,0
4723,100,4722,1411004,298706
4822,100,4821,1066839,0
4936,100,4935,375287,0
5029,100,5028,685310,0
5133,100,5132,569700,0
5227,100,5227,1046449,0
5328,100,5327,1004476,0
5428,100,5427,1494026,381728
5530,100,5530,1541383,429085
5629,100,5628,1263668,151370
5730,100,5729,1190868,78570
5838,100,5836,675232,0
5936,100,5935,1043182,0
6034,100,6033,1069448,0
6133,100,6132,1245725,133427
6234,100,6233,1190868,78570
6334,100,6333,1126036,13738
6434,100,6433,1215803,103505
6535,100,6534,1136205,23907
6635,100,6634,1006543,0
6736,100,6735,906802,0
6839,100,6838,666604,0
6935,100,6935,802085,0
7053,100,7051,392768,0
7146,100,7144,563220,0
7245,100,7243,609261,0
7342,100,7341,742003,0
7443,100,7442,643476,0
7547,100,7546,557660,0
7649,100,7647,654632,0
7742,100,7741,1235955,123657
7842,100,7841,1086345,0
7943,100,7942,1001566,0
8043,100,8042,1166137,53839
8143,100,8142,1111280,0
8244,100,8243,1091332,0
8348,100,8347,1116267,3969
8446,100,8445,1081358,0
8546,100,8545,1265867,153569
8647,100,8646,1220984,108686
8747,100,8745,1041452,0
8846,100,8845,1071374,0
8951,100,8951,692361,0
9050,100,9049,937519,0
9155,100,9154,558068,0
9255,100,9253,574860,0
9349,100,9348,1362583,250285
9452,100,9451,673056,0
9551,100,9550,762189,0
9648,100,9648,887587,0
9750,100,9750,629463,0
9851,100,9850,980798,0
9951,100,9950,851736,0
10061,100,10059,514620,0
10158,100,10156,718778,0
10258,100,10257,788503,0
10358,100,10357,768268,0
10459,100,10458,804384,0
10560,100,10558,1051436,0
10658,100,10657,1031478,0
10761,100,10760,801215,0
10864,100,10863,787311,0
10966,100,10965,753317,0
11064,100,11063,728984,0
11168,100,11166,997412,0
11267,100,11266,1076361,0
11367,100,11366,1101296,0
11467,100,11466,896828,0
11568,100,11567,911789,0
11669,100,11668,719020,0
11771,100,11770,758419,0
11869,100,11868,866916,0
11972,100,11971,917357,0
12074,100,12073,668740,0
12176,100,12175,603528,0
12275,100,12274,643092,0
12372,100,12370,1399714,287416
12470,100,12469,1984611,872313
12570,100,12569,1411872,299574
12672,100,12671,1086335,0
12772,100,12771,1214612,102314
12874,100,12873,1156153,43855
12973,100,12972,1166127,53829
13075,100,13074,971634,0
13174,100,13173,1051426,0
13277,100,13276,1135901,23603
13376,100,13375,1171327,59029
13477,100,13476,1352979,240681
13576,100,13575,1306246,193948
13674,100,13673,1317568,205270
13775,100,13774,883074,0
13876,100,13875,380696,0
13977,100,13976,482266,0
14079,100,14078,466044,0
14179,100,14178,443726,0
14279,100,14278,508572,0
14380,100,14379,534492,0
14481,100,14480,543024,0
14583,100,14582,472739,0
14683,100,14682,580936,0
14783,100,14783,574992,0
14883,100,14883,610632,0
14984,100,14983,800717,0
15084,100,15084,760278,0
15185,100,15184,840499,0
15235,100,15234,947541,0
15335,100,15335,1014450,0
15436,100,15435,987811,0
15536,100,15535,1207223,94925
15637,100,15636,980871,0
15737,100,15736,1094232,0
15837,100,15837,962866,0
15938,100,15937,1054336,0
16038,100,16037,1208933,96635
16139,100,16138,1049349,0
16239,100,16239,783333,0
16340,100,16339,598136,0
16441,100,16440,563997,0
16542,100,16541,516672,0
16642,100,16642,598136,0
16743,100,16742,524771,0
16844,100,16843,523152,0
16945,100,16944,578486,0
17045,100,17044,581472,0
17144,100,17144,1555363,443065
17245,100,17245,1034398,0
17345,100,17345,1701988,589690
17446,100,17445,1004476,0
17547,100,17546,1680449,568151
17648,100,17647,1002820,0
17748,100,17747,1077567,0
17848,100,17848,1159063,46765
17949,100,17948,1009453,0
18049,100,18049,864829,0
18150,100,18149,944621,0
18250,100,18250,1160393,48095
18351,100,18350,1057619,0
18451,100,18450,1024414,0
18552,100,18551,705795,0
18654,100,18653,541209,0
18753,100,18753,511812,0
18854,100,18853,471623,0
18954,100,18954,477792,0
19056,100,19055,523601,0
19156,100,19155,505099,0
19257,100,19257,514620,0
19358,100,19357,550692,0
19459,100,19458,537732,0
19558,100,19558,743243,0
19659,100,19658,879897,0
19762,100,19762,899711,0
19863,100,19862,893144,0
19964,100,19963,935826,0
20064,100,20063,1389905,277607
20164,100,20164,944621,0
20265,100,20264,1179299,67001
20365,100,20365,914699,0
20466,100,20465,1594958,482660
20567,100,20566,1405691,293393
20667,100,20666,1286887,174589
20768,100,20767,1114180,1882
20868,100,20867,929660,0
20968,100,20968,1204159,91861
21070,100,21069,879800,0
21169,100,21168,1547765,435467
21270,100,21269,819956,0
21370,100,21370,728870,0
21472,100,21472,565271,0
21572,100,21572,550692,0
21673,100,21672,600048,0
21774,100,21773,591192,0
21874,100,21874,633355,0
21975,100,21974,647827,0
22075,100,22074,745873,0
22178,100,22177,743542,0
22278,100,22277,701409,0
22378,100,22377,645629,0
22478,100,22478,1343454,231156
22579,100,22579,848174,0
22681,100,22680,705888,0
22781,100,22781,739262,0
22883,100,22882,771666,0
22984,100,22983,647862,0
23084,100,23083,747629,0
23185,100,23184,680694,0
23285,100,23285,565516,0
23386,100,23385,575279,0
23486,100,23486,990845,0
23586,100,23586,1036997,0
23688,100,23687,601005,0
23788,100,23787,550357,0
23892,100,23890,471623,0
23991,100,23990,617112,0
24090,100,24089,508140,0
24190,100,24190,549417,0
24291,100,24290,574992,0
24395,100,24392,672672,0
24492,100,24491,742162,0
24593,100,24592,750537,0
24694,100,24693,736547,0
24794,100,24793,760472,0
24894,100,24893,736473,0
24995,100,24994,705795,0
25095,100,25094,1341588,229290
25196,100,25195,973403,0
25296,100,25295,855663,0
25396,100,25395,937553,0
25497,100,25496,949478,0
25597,100,25597,1315153,202855
25697,100,25696,1007749,0
25798,100,25797,1074294,0
25898,100,25897,899748,0
25998,100,25998,1092879,0
26100,100,26099,841548,0
26199,100,26198,913249,0
26299,100,26299,1092523,0
26400,100,26399,997191,0
26500,100,26500,931001,0
26601,100,26600,1096162,0
26702,100,26701,1084268,0
26802,100,26801,1154794,42496
26903,100,26902,1122254,9956
27003,100,27002,1145486,33188
27103,100,27102,1177449,65151
27204,100,27203,1231527,119229
27304,100,27303,1102465,0
27405,100,27404,765123,0
27506,100,27505,830321,0
27607,100,27606,483493,0
27707,100,27706,807781,0
27807,100,27807,768383,0
27908,100,27907,834047,0
28009,100,28008,634592,0
28109,100,28108,518536,0
28210,100,28210,499197,0
28311,100,28310,482782,0
28411,100,28410,469391,0
28512,100,28511,477202,0
28613,100,28612,487181,0
28714,100,28713,466044,0
28814,100,28813,576612,0
28916,100,28915,497288,0
29015,100,29014,1577878,465580
29115,100,29115,761702,0
29216,100,29215,992798,0
29318,100,29317,879897,0
29418,100,29417,1094242,0
29518,100,29518,1029411,0
29619,100,29618,992798,0
29720,100,29719,1094242,0
29821,100,29820,1003853,0
29921,100,29920,1094232,0
30021,100,30020,1709508,597210
30122,100,30121,1077567,0
30222,100,30222,1109193,0
30323,100,30323,1000114,0
30424,100,30423,584627,0
30524,100,30524,577141,0
30625,100,30624,563652,0
30725,100,30725,599291,0
30826,100,30825,557172,0
30927,100,30926,524670,0
31028,100,31027,465460,0
31130,100,31129,509563,0
31229,100,31228,500636,0
31329,100,31329,495056,0
31430,100,31429,613872,0
31531,100,31530,972476,0
31632,100,31631,920419,0
31731,100,31731,993689,0
31831,100,31831,1038424,0
31932,100,31931,1080955,0
32032,100,32031,1016424,0
32133,100,32133,1188506,76208
32233,100,32232,1363872,251574
32333,100,32333,1095295,0
32436,100,32435,483819,0
32537,100,32536,694445,0
32639,100,32638,713868,0
32739,100,32738,504897,0
32841,100,32840,523741,0
32939,100,32939,1408657,296359
33040,100,33040,610675,0
33141,100,33140,529030,0
33241,100,33241,563652,0
33342,100,33341,489132,0
33442,100,33442,480550,0
33493,100,33492,572184,0
33594,100,33593,495056,0
33695,100,33694,565315,0
33795,100,33795,647892,0
33896,100,33895,706582,0
33996,100,33995,866879,0
34096,100,34095,830764,0
34197,100,34196,906277,0
34297,100,34297,886578,0
34398,100,34397,873445,0
34498,100,34497,1119167,6869
34600,100,34599,807781,0
34699,100,34698,1105536,0
34799,100,34799,1059323,0
34900,100,34899,1102502,0
35000,100,35000,1050679,0
35101,100,35100,680694,0
35202,100,35201,613834,0
35302,100,35302,513432,0
35403,100,35402,597672,0
35504,100,35504,477202,0
35606,100,35606,507331,0
35706,100,35705,513382,0
35807,100,35806,502867,0
35908,100,35908,515142,0
36009,100,36008,490593,0
36109,100,36108,693695,0
36210,100,36209,733290,0
36311,100,36310,729552,0
36411,100,36410,687464,0
36511,100,36511,699321,0
36612,100,36611,629389,0
36713,100,36712,575202,0
36813,100,36812,695831,0
36915,100,36915,626959,0
37014,100,37013,1414109,301811
37116,100,37114,1104206,0
37215,100,37214,836238,0
37315,100,37315,997775,0
37416,100,37415,989504,0
37516,100,37516,597656,0
37617,100,37616,816836,0
37717,100,37717,579025,0
37818,100,37818,456001,0
37921,100,37920,538060,0
38020,100,38019,676944,0
38121,100,38120,623427,0
38220,100,38220,946533,0
38321,100,38320,839904,0
38421,100,38420,964579,0
38521,100,38521,1044372,0
38622,100,38621,1287537,175239
38722,100,38721,1089255,0
38823,100,38822,1092879,0
38925,100,38924,1329725,217427
39025,100,39024,1130986,18688
39125,100,39125,2017219,904921
39226,100,39225,2088051,975753
39326,100,39325,1891175,778877
39427,100,39426,2005897,893599
39528,100,39527,1908799,796501
39628,100,39628,1790794,678496
39729,100,39728,1094232,0
39830,100,39829,997775,0
39931,100,39930,583681,0
40032,100,40031,558791,0
40132,100,40131,528012,0
40233,100,40232,586332,0
40333,100,40333,532872,0
40434,100,40433,574663,0
40536,100,40535,552311,0
40635,100,40634,510192,0
40736,100,40736,607692,0
40836,100,40835,693204,0
40936,100,40935,1389308,277010
41036,100,41036,1089255,0
41137,100,41136,1029401,0
41237,100,41237,944621,0
41338,100,41337,977827,0
41438,100,41437,909712,0
41539,100,41538,697428,0
41639,100,41638,706873,0
41740,100,41739,720863,0
41840,100,41840,804574,0
41941,100,41941,722528,0
42042,100,42042,811064,0
42143,100,42142,730895,0
42244,100,42243,593287,0
42345,100,42344,539298,0
42445,100,42444,573291,0
42547,100,42546,513137,0
42647,100,42646,581817,0
42747,100,42746,594432,0
42849,100,42848,473790,0
42949,100,42947,530819,0
43049,100,43049,523152,0
43150,100,43149,583092,0
43250,100,43249,652752,0
43350,100,43350,814109,0
43451,100,43450,971827,0
43551,100,43551,1122460,10162
43652,100,43651,1174034,61736
43752,100,43751,975884,0
43852,100,43852,1188995,76697
43953,100,43952,810950,0
44053,100,44053,785511,0
44155,100,44153,781486,0
44254,100,44254,744179,0
44355,100,44355,1484884,372586
44455,100,44455,1540974,428676
44556,100,44555,1224357,112059
44656,100,44656,959582,0
44758,100,44757,941721,0
44858,100,44857,1000819,0
44958,100,44957,1547235,434937
45059,100,45058,1158187,45889
45159,100,45158,1099022,0
45260,100,45259,859852,0
45361,100,45361,1350624,238326
45460,100,45460,1121181,8883
45562,100,45561,904735,0
45662,100,45661,1029411,0
45762,100,45762,1064320,0
45863,100,45862,525312,0
45964,100,45963,674044,0
46065,100,46064,743243,0
46165,100,46164,806198,0
46266,100,46265,677905,0
46367,100,46366,612039,0
46467,100,46466,653478,0
46568,100,46567,746005,0
46668,100,46667,804498,0
46768,100,46767,733049,0
46874,100,46873,811064,0
46974,100,46973,660037,0
47073,100,47072,891841,0
47178,100,47177,712319,0
47276,100,47275,650073,0
47375,100,47374,941721,0
47475,100,47474,752215,0
47576,100,47575,702345,0
47676,100,47675,886864,0
47778,100,47777,699321,0
47882,100,47881,565304,0
47980,100,47979,945561,0
48083,100,48083,850348,0
48181,100,48180,1075640,0
48281,100,48280,946698,0
48382,100,48382,1046439,0
48479,100,48478,1181088,68790
48583,100,48582,1096309,0
48680,100,48679,1141192,28894
48781,100,48780,906802,0
48882,100,48882,1399457,287159
48982,100,48981,1115510,3212
49084,100,49083,834047,0
49185,100,49184,985074,0
49283,100,49282,1621730,509432
49383,100,49382,1571540,459242
49485,100,49484,1769508,657210
49583,100,49582,1826869,714571
49683,100,49682,1415155,302857
49783,100,49783,1128352,16054
49884,100,49883,889774,0
49985,100,49984,575663,0
50086,100,50085,642323,0
50186,100,50185,524772,0
50286,100,50285,633312,0
50387,100,50387,837425,0
50487,100,50487,766720,0
50587,100,50587,1334912,222614
