Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
28,100,27,3011280,2137580
103,100,101,3472035,2598335
198,100,196,3564361,2690661
292,100,291,1750139,876439
393,100,392,1123483,249783
494,100,493,1041619,167919
594,100,593,755307,0
695,100,694,747133,0
795,100,794,725161,0
896,100,895,710655,0
998,100,997,690520,0
1099,100,1098,793673,0
1200,100,1199,697265,0
1299,100,1298,742273,0
1400,100,1399,675570,0
1501,100,1500,716234,0
1602,100,1601,719582,0
1703,100,1702,720698,0
1803,100,1802,786013,0
1905,100,1904,669787,0
2005,100,2004,760093,0
2106,100,2105,661064,0
2207,100,2206,829423,0
2308,100,2307,744745,0
2409,100,2408,779533,0
2509,100,2508,768193,0
2610,100,2609,705076,0
2710,100,2709,728509,0
2812,100,2811,738552,0
2911,100,2910,1131333,257633
3012,100,3011,1888260,1014560
3114,100,3113,1092919,219219
3213,100,3212,1493905,620205
3313,100,3312,724867,0
3414,100,3413,661064,0
3533,100,3530,642094,0
3629,100,3626,791287,0
3729,100,3726,807496,0
3829,100,3826,789037,0
3928,100,3925,844555,0
4027,100,4024,1142241,268541
4128,100,4126,850133,0
4231,100,4228,946472,72772
4335,100,4331,872976,0
4437,100,4433,799852,0
4535,100,4531,763539,0
4635,100,4632,799192,0
4737,100,4733,788385,0
4837,100,4834,773095,0
4930,100,4928,1537999,664299
5028,100,5026,2211988,1338288
5130,100,5128,2082927,1209227
5225,100,5224,2211988,1338288
5326,100,5325,1830899,957199
5427,100,5426,817172,0
5528,100,5527,774673,0
5630,100,5628,792493,0
5729,100,5728,728107,0
5830,100,5829,715119,0
5930,100,5929,694052,0
6032,100,6030,823711,0
6132,100,6131,697327,0
6232,100,6231,768193,0
6333,100,6331,845323,0
6433,100,6432,835997,0
6534,100,6532,705097,0
6634,100,6633,654368,0
6736,100,6735,646557,0
6834,100,6833,1516815,643115
6935,100,6934,742731,0
7036,100,7035,758473,0
7137,100,7135,676686,0
7236,100,7235,2252393,1378693
7337,100,7336,1205493,331793
7438,100,7437,946538,72838
7539,100,7538,764953,0
7639,100,7638,719593,0
7742,100,7741,713953,0
7841,100,7840,754174,0
7942,100,7941,768680,0
8042,100,8041,1362055,488355
8142,100,8141,2358592,1484892
8243,100,8242,1660458,786758
8343,100,8342,895880,22180
8443,100,8442,1170259,296559
8544,100,8543,719087,0
8645,100,8644,775047,0
8746,100,8744,764953,0
8848,100,8847,992426,118726
8949,100,8948,461580,0
9050,100,9050,552312,0
9151,100,9151,771552,0
9252,100,9252,771628,0
9352,100,9352,764985,0
9464,100,9462,558002,0
9564,100,9563,515614,0
9667,100,9665,593972,0
9764,100,9763,598791,0
9866,100,9865,607848,0
9967,100,9965,524178,0
10066,100,10065,643334,0
10165,100,10164,719020,0
10266,100,10265,728870,0
10363,100,10362,817046,0
10467,100,10465,673056,0
10563,100,10562,1626107,752407
10666,100,10665,881877,8177
10768,100,10767,946708,73008
10870,100,10869,764985,0
10973,100,10972,601122,0
11075,100,11073,605786,0
11173,100,11171,643507,0
11274,100,11273,794534,0
11371,100,11370,827020,0
11472,100,11471,747228,0
11572,100,11571,767176,0
11676,100,11675,573751,0
11779,100,11777,504147,0
11878,100,11877,624439,0
11978,100,11977,626742,0
12080,100,12078,584801,0
12182,100,12180,519436,0
12282,100,12281,589151,0
12376,100,12375,1798189,924489
12473,100,12472,1149258,275558
12574,100,12573,859441,0
12674,100,12674,600825,0
12776,100,12774,508917,0
12874,100,12873,953568,79868
12974,100,12973,971801,98101
13075,100,13074,1043049,169349
13175,100,13174,878526,4826
13277,100,13276,745395,0
13378,100,13377,841921,0
13477,100,13476,768193,0
13578,100,13577,773822,0
13680,100,13679,726925,0
13780,100,13779,693917,0
13880,100,13879,710655,0
13982,100,13980,736320,0
14083,100,14082,736271,0
14183,100,14181,757522,0
14283,100,14282,1463454,589754
14383,100,14382,828328,0
14484,100,14483,700166,0
14584,100,14583,747067,0
14685,100,14684,715147,0
14735,100,14734,683953,0
14836,100,14835,795320,0
14938,100,14937,710655,0
15038,100,15037,1477065,603365
15138,100,15137,1028088,154388
15239,100,15238,760331,0
15339,100,15338,840660,0
15440,100,15439,791725,0
15540,100,15539,753613,0
15642,100,15641,742273,0
15742,100,15741,674947,0
15843,100,15843,795733,0
15944,100,15944,738552,0
16044,100,16043,681149,0
16145,100,16145,711771,0
16246,100,16245,766950,0
16347,100,16346,658832,0
16448,100,16447,727393,0
16548,100,16547,2139213,1265513
16648,100,16648,1292400,418700
16749,100,16748,980305,106605
16851,100,16850,637790,0
16952,100,16951,525512,0
17052,100,17052,506952,0
17166,100,17164,456001,0
17266,100,17265,595965,0
17365,100,17364,517588,0
17463,100,17461,654632,0
17568,100,17566,564840,0
17668,100,17666,491940,0
17769,100,17768,508140,0
