Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
45,44,40,2904663,2131870
141,44,139,3058298,2285505
236,44,235,2655977,1883184
338,44,335,3337345,2564552
437,44,436,3105147,2332354
538,44,537,1999411,1226618
638,44,637,1312504,539711
739,44,738,1027667,254874
839,44,838,878478,105685
941,44,940,640978,0
1042,44,1041,760869,0
1093,44,1092,801800,29007
1193,44,1192,769813,0
1294,44,1292,782773,9980
1394,44,1393,726073,0
1496,44,1495,732553,0
1596,44,1594,776293,3500
1697,44,1695,649905,0
1797,44,1796,716234,0
1898,44,1897,721814,0
1999,44,1998,746363,0
2100,44,2099,702844,0
2201,44,2199,838938,66145
2301,44,2300,883862,111069
2401,44,2400,715147,0
2502,44,2501,747133,0
2603,44,2601,822007,49214
2703,44,2701,953782,180989
2803,44,2802,826513,53720
2904,44,2903,871873,99080
3004,44,3003,802213,29420
3107,44,3106,990078,217285
3207,44,3207,827366,54573
3307,44,3307,520472,0
3409,44,3409,524772,0
3509,44,3508,490751,0
3610,44,3609,550735,0
3710,44,3710,454885,0
3811,44,3811,618748,0
3912,44,3911,810950,38157
4013,44,4012,637848,0
4113,44,4112,560757,0
4214,44,4213,463340,0
4315,44,4314,837216,64423
4416,44,4415,542712,0
4517,44,4516,609012,0
4617,44,4617,578232,0
4718,44,4717,484949,0
4820,44,4819,529030,0
4920,44,4919,563735,0
5020,44,5019,994502,221709
5121,44,5120,566954,0
5221,44,5220,616906,0
5321,44,5320,999290,226497
5422,44,5421,1049481,276688
5523,44,5522,705255,0
5623,44,5622,497577,0
5724,44,5723,485935,0
5825,44,5824,528012,0
5926,44,5925,447074,0
6026,44,6025,508572,0
6127,44,6126,537300,0
6228,44,6227,476086,0
6328,44,6327,483898,0
6428,44,6428,453769,0
6530,44,6529,464928,0
6630,44,6629,560455,0
6732,44,6731,565272,0
6831,44,6830,604800,0
6932,44,6931,496799,0
7033,44,7032,578577,0
7133,44,7132,513432,0
7235,44,7234,558002,0
7335,44,7334,571380,0
7436,44,7435,519912,0
7536,44,7535,558835,0
7637,44,7636,531252,0
7739,44,7738,518292,0
7839,44,7838,717894,0
7938,44,7937,618408,0
8039,44,8038,555552,0
8140,44,8139,524772,0
8240,44,8240,555552,0
8341,44,8340,575337,0
8441,44,8440,540972,0
8542,44,8541,557171,0
8643,44,8642,534837,0
8745,44,8742,511794,0
8843,44,8843,729755,0
8944,44,8943,619275,0
9045,44,9044,361152,0
9144,44,9143,810802,38009
9244,44,9243,619153,0
9344,44,9344,698024,0
9445,44,9444,619153,0
9545,44,9544,762555,0
9645,44,9644,698024,0
