Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
37,100,35,2805306,2106835
109,100,108,2893545,2195074
210,100,207,3691951,2993480
298,100,297,3667356,2968885
399,100,398,3359251,2660780
499,100,498,2034325,1335854
600,100,599,1454800,756329
700,100,699,1221421,522950
801,100,800,943309,244838
902,100,900,973231,274760
1002,100,1001,719040,20569
1102,100,1101,1458054,759583
1203,100,1201,1030159,331688
1303,100,1302,775374,76903
1405,100,1404,557946,0
1505,100,1505,531785,0
1606,100,1606,627911,0
1707,100,1706,529334,0
1807,100,1806,536112,0
1908,100,1907,592812,0
2008,100,2007,1056844,358373
2109,100,2108,828876,130405
2210,100,2209,887697,189226
2310,100,2309,644004,0
2414,100,2413,613587,0
2520,100,2519,563816,0
2618,100,2617,582469,0
2721,100,2719,556821,0
2820,100,2819,556821,0
2923,100,2921,598791,0
3017,100,3016,1934421,1235950
3116,100,3115,1389493,691022
3219,100,3218,702345,3874
3321,100,3320,692755,0
3422,100,3420,699321,850
3522,100,3521,623808,0
3623,100,3622,705887,7416
3726,100,3724,605684,0
3826,100,3825,645424,0
3926,100,3925,665788,0
4026,100,4025,690888,0
4124,100,4123,911799,213328
4225,100,4224,827020,128549
4325,100,4324,797098,98627
4426,100,4425,747228,48757
4528,100,4527,650073,0
4629,100,4628,656640,0
4732,100,4730,679622,0
4831,100,4830,710411,11940
4927,100,4926,1156163,457692
5026,100,5025,1792152,1093681
5126,100,5125,1683467,984996
5229,100,5229,1167221,468750
5329,100,5328,1195901,497430
5430,100,5429,995138,296667
5531,100,5530,752215,53744
5632,100,5630,926760,228289
5732,100,5731,702345,3874
5832,100,5831,871903,173432
5936,100,5935,735436,36965
6036,100,6035,610675,0
6136,100,6135,735436,36965
6238,100,6236,761702,63231
6338,100,6337,761702,63231
6441,100,6440,517183,0
6542,100,6541,584416,0
6642,100,6640,619776,0
6741,100,6740,651843,0
6844,100,6842,581126,0
6939,100,6937,1066397,367926
7041,100,7040,916786,218315
7136,100,7135,1948761,1250290
7239,100,7238,1319381,620910
7339,100,7338,1412518,714047
7441,100,7440,944948,246477
7542,100,7541,1001006,302535
7643,100,7642,757202,58731
7743,100,7742,871903,173432
7845,100,7844,906812,208341
7944,100,7943,868219,169748
8046,100,8045,891851,193380
8144,100,8143,961670,263199
8244,100,8243,850587,152116
8347,100,8346,1084814,386343
8448,100,8447,836994,138523
8550,100,8549,676339,0
8647,100,8646,1145347,446876
8752,100,8750,770610,72139
8846,100,8845,1260432,561961
8963,100,8961,438863,0
9056,100,9055,590150,0
