Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
25,44,24,2416601,1673868
106,44,104,2320455,1577722
206,44,204,3483879,2741146
311,44,309,3393217,2650484
410,44,408,2722122,1979389
508,44,506,2082512,1339779
610,44,608,1835573,1092840
704,44,703,1389297,646564
805,44,804,637443,0
905,44,904,817915,75182
1005,44,1004,1164165,421432
1106,44,1105,1579946,837213
1210,44,1208,1107794,365061
1313,44,1311,1069099,326366
1414,44,1412,1266035,523302
1514,44,1512,1141360,398627
1615,44,1613,1166295,423562
1718,44,1716,979833,237100
1824,44,1820,771847,29114
1922,44,1919,780740,38007
2022,44,2019,856654,113921
2125,44,2122,799387,56654
2224,44,2220,828675,85942
2324,44,2321,803026,60293
2426,44,2423,811319,68586
2524,44,2521,866867,124134
2625,44,2622,1019232,276499
2726,44,2723,996249,253516
2822,44,2820,1816559,1073826
2923,44,2921,1307361,564628
3024,44,3022,1091490,348757
3126,44,3124,788775,46042
3234,44,3230,648183,0
3329,44,3326,992371,249638
3427,44,3425,1021671,278938
3526,44,3524,926918,184185
3627,44,3625,971801,229068
3736,44,3732,710287,0
3832,44,3829,908702,165969
3932,44,3930,875234,132501
4040,44,4038,1342927,600194
4130,44,4129,2613918,1871185
4233,44,4232,1372093,629360
4332,44,4331,1281942,539209
4435,44,4434,881877,139144
4543,44,4542,663206,0
4639,44,4638,656640,0
