Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
13,100,11,4314232,3139121
93,100,92,4191165,3016054
193,100,193,2531315,1356204
294,100,293,2321587,1146476
394,100,393,2537104,1361993
494,100,493,1814428,639317
594,100,593,1484721,309610
703,100,698,1086953,0
809,100,806,1266566,91455
907,100,904,1479174,304063
1007,100,1004,1431827,256716
1112,100,1109,1299722,124611
1211,100,1208,1359277,184166
1314,100,1311,1255765,80654
1420,100,1416,1202542,27431
1507,100,1505,2681267,1506156
1602,100,1601,1745401,570290
1711,100,1708,1293990,118879
1813,100,1811,1291659,116548
1913,100,1911,1270674,95563
2013,100,2010,1384349,209238
2114,100,2111,1314624,139513
2223,100,2219,1181340,6229
2321,100,2318,1290189,115078
2418,100,2415,1324302,149191
2517,100,2514,1378771,203660
2618,100,2615,1497491,322380
2721,100,2718,1286343,111232
2815,100,2813,1744046,568935
2908,100,2907,2337102,1161991
3008,100,3007,1691794,516683
3108,100,3108,1212383,37272
3209,100,3208,1271054,95943
3310,100,3309,1336014,160903
3410,100,3409,1245400,70289
3519,100,3517,1345163,170052
3621,100,3618,1305649,130538
3720,100,3718,1494208,319097
3825,100,3822,1288255,113144
3922,100,3920,1513907,338796
4024,100,4021,1342514,167403
4131,100,4126,1396583,221472
4223,100,4221,1749033,573922
4323,100,4321,976788,0
4425,100,4423,838656,0
4524,100,4522,1106451,0
4625,100,4623,1101464,0
4728,100,4726,884620,0
4826,100,4823,1989715,814604
4926,100,4923,2480295,1305184
5020,100,5019,2144703,969592
5120,100,5120,1253016,77905
5221,100,5220,1249396,74285
5322,100,5321,1752028,576917
5422,100,5421,1356302,181191
,,,,
