Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
21,81,20,2843518,2011387
132,81,124,2103865,1271734
223,81,222,3216363,2384232
326,81,324,2812772,1980641
428,81,424,2681644,1849513
531,81,529,3540633,2708502
627,81,625,3429064,2596933
726,81,724,2376930,1544799
827,81,825,2746791,1914660
932,81,929,1563344,731213
1031,81,1028,1447488,615357
1079,81,1077,1817498,985367
1182,81,1180,904320,72189
1286,81,1283,814685,0
1387,81,1383,847328,15197
1488,81,1485,690915,0
1587,81,1584,868313,36182
1686,81,1684,897546,65415
1787,81,1784,874771,42640
1884,81,1882,991749,159618
1985,81,1983,1021671,189540
2086,81,2084,1066555,234424
2186,81,2184,1071542,239411
2287,81,2286,669772,0
2389,81,2388,692755,0
2491,81,2490,661745,0
2590,81,2588,652419,0
2692,81,2690,584801,0
2792,81,2791,729934,0
2890,81,2889,676339,0
2992,81,2991,610008,0
3089,81,3088,1151936,319805
3189,81,3188,1095520,263389
3293,81,3292,646790,0
3395,81,3394,685310,0
3496,81,3495,693677,0
3592,81,3591,1583086,750955
3692,81,3691,780035,0
3793,81,3793,772865,0
3894,81,3893,885558,53427
3995,81,3994,911799,79668
4095,81,4094,954268,122137
4208,81,4206,420831,0
4302,81,4301,601122,0
4402,81,4401,575474,0
4505,81,4504,535680,0
4605,81,4603,724356,0
4701,81,4700,976631,144500
4801,81,4800,712319,0
4903,81,4902,630374,0
5020,81,5015,496800,0
5106,81,5105,640760,0
5206,81,5205,676339,0
5309,81,5308,569127,0
5410,81,5408,642316,0
5508,81,5507,847065,14934
5605,81,5604,792111,0
5709,81,5708,679622,0
5810,81,5809,666489,0
5908,81,5907,906812,74681
6010,81,6009,682905,0
6109,81,6108,861929,29798
6213,81,6211,557017,0
6316,81,6314,559571,0
6419,81,6417,509760,0
6517,81,6515,737920,0
6619,81,6617,449820,0
6719,81,6718,527579,0
6817,81,6816,584801,0
6918,81,6916,615112,0
7021,81,7019,547020,0
7119,81,7118,622107,0
7222,81,7220,548104,0
7315,81,7314,1345669,513538
7416,81,7415,976631,144500
7518,81,7517,715737,0
7619,81,7618,774835,0
7717,81,7716,986605,154474
7820,81,7819,607392,0
7925,81,7923,540540,0
8027,81,8026,566184,0
8128,81,8126,480600,0
8228,81,8226,530820,0
8329,81,8327,503280,0
8427,81,8426,614231,0
8528,81,8527,625814,0
8626,81,8625,719020,0
8722,81,8721,916267,84136
8824,81,8823,772865,0
8925,81,8924,881790,49659
9026,81,9025,913701,81570
9126,81,9125,836994,4863
9237,81,9236,415114,0
9334,81,9332,477391,0
9438,81,9437,483573,0
9537,81,9536,524339,0
9641,81,9639,519480,0
9737,81,9736,660210,0
9837,81,9836,598791,0
9939,81,9937,557660,0
10039,81,10038,624439,0
10142,81,10140,524340,0
10238,81,10237,651843,0
10339,81,10338,635109,0
10443,81,10442,523259,0
10539,81,10538,656640,0
10641,81,10640,748569,0
10741,81,10740,755136,0
10843,81,10842,607219,0
10941,81,10940,656640,0
11044,81,11043,791251,0
11139,81,11138,1425344,593213
11240,81,11239,916786,84655
11341,81,11340,941090,108959
11442,81,11441,919330,87199
11546,81,11545,632320,0
11650,81,11649,444960,0
11748,81,11747,526510,0
11849,81,11847,540499,0
11950,81,11949,590719,0
12050,81,12049,545163,0
12153,81,12152,490320,0
12254,81,12252,538920,0
12357,81,12356,443220,0
12453,81,12452,605786,0
12552,81,12551,713200,0
12654,81,12653,766202,0
12748,81,12748,2221224,1389093
12848,81,12848,2630714,1798583
12949,81,12948,1312211,480080
13052,81,13051,1818195,986064
13150,81,13149,2609924,1777793
13251,81,13250,2399386,1567255
13353,81,13352,2789250,1957119
13453,81,13452,2461237,1629106
13553,81,13552,2064996,1232865
13653,81,13652,1950275,1118144
13754,81,13753,1668375,836244
13854,81,13853,1468364,636233
13955,81,13954,1834039,1001908
14055,81,14054,1963101,1130970
14155,81,14154,1446854,614723
14256,81,14255,1697807,865676
14353,81,14352,1912910,1080779
14454,81,14453,1615918,783787
14554,81,14554,1615918,783787
14654,81,14653,1809511,977380
14754,81,14753,2081974,1249843
14854,81,14854,1583351,751220
14955,81,14954,1508367,676236
15056,81,15055,1336284,504153
15156,81,15155,1591124,758993
15256,81,15255,1540065,707934
15356,81,15355,1611766,779635
15457,81,15456,1117030,284899
15557,81,15556,1446854,614723
15657,81,15657,1666109,833978
15758,81,15757,1615918,783787
15858,81,15857,1572897,740766
15959,81,15958,1228733,396602
16059,81,16058,1627843,795712
16159,81,16159,1555274,723143
16260,81,16259,1486856,654725
16360,81,16359,1235903,403772
16460,81,16460,1572897,740766
16561,81,16560,1717432,885301
16661,81,16661,1630258,798127
16762,81,16761,1422325,590194
16862,81,16862,1078161,246030
16963,81,16962,1451006,618875
17063,81,17062,741868,0
17164,81,17163,790791,0
17264,81,17264,508572,0
17365,81,17365,545832,0
17466,81,17466,474971,0
17516,81,17515,469391,0
17617,81,17616,564084,0
17717,81,17716,742003,0
17817,81,17817,1329114,496983
17918,81,17917,542712,0
18018,81,18018,602546,0
18119,81,18118,500636,0
18221,81,18220,488361,0
18320,81,18320,447718,0
18422,81,18421,2225376,1393245
18522,81,18521,2136316,1304185
18622,81,18621,1529273,697142
18722,81,18722,1698676,866545
18823,81,18822,1221563,389432
18925,81,18924,627425,0
19024,81,19023,517372,0
19125,81,19125,498852,0
19225,81,19225,502092,0
19326,81,19325,516672,0
19425,81,19425,526392,0
19526,81,19525,426516,0
19627,81,19626,504900,0
19727,81,19726,612969,0
19828,81,19828,1164060,331929
19928,81,19927,686510,0
20028,81,20028,498413,0
20129,81,20128,539697,0
20230,81,20229,495056,0
20330,81,20330,466044,0
20431,81,20430,540972,0
20532,81,20531,650276,0
20633,81,20632,757188,0
20733,81,20732,645613,0
20834,81,20833,516672,0
20934,81,20933,529632,0
21035,81,21034,490751,0
21135,81,21134,628797,0
21235,81,21235,579852,0
21336,81,21335,837216,5085
21436,81,21436,601122,0
21537,81,21536,527423,0
21637,81,21637,571380,0
21738,81,21738,582847,0
21839,81,21838,555897,0
21939,81,21938,510192,0
22040,81,22039,539352,0
22141,81,22140,521488,0
22242,81,22241,568512,0
22342,81,22341,682919,0
22443,81,22442,522668,0
22543,81,22542,490751,0
22644,81,22643,441494,0
22744,81,22744,563735,0
22844,81,22844,485892,0
22945,81,22944,505332,0
23046,81,23045,453448,0
23146,81,23146,434327,0
23247,81,23247,427632,0
23347,81,23347,416473,0
23449,81,23448,558002,0
23549,81,23548,609113,0
