Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
54,100,52,3534020,2342204
143,100,140,4169454,2977638
236,100,235,3443802,2251986
344,100,342,3859668,2667852
444,100,442,3141654,1949838
545,100,543,2635054,1443238
647,100,645,1749532,557716
747,100,745,1756702,564886
846,100,844,1742362,550546
950,100,947,1629422,437606
1052,100,1049,1375925,184109
1156,100,1152,1428848,237032
1258,100,1255,1364630,172814
1357,100,1354,1419522,227706
1406,100,1403,1457337,265521
1506,100,1503,1450771,258955
1607,100,1604,1457337,265521
1708,100,1705,1418578,226762
1812,100,1809,1341811,149995
1910,100,1909,1584556,392740
2010,100,2009,933866,0
2109,100,2108,1007942,0
2211,100,2210,1074974,0
2311,100,2310,1170301,0
2414,100,2412,955062,0
2517,100,2516,920381,0
2614,100,2613,989673,0
2716,100,2714,838508,0
2814,100,2813,1109721,0
2914,100,2913,1285003,93187
3011,100,3010,1904236,712420
3113,100,3112,1135392,0
3214,100,3213,1454561,262745
3315,100,3314,1495541,303725
3413,100,3412,1366479,174663
3517,100,3516,1060473,0
3622,100,3621,918470,0
3714,100,3713,1904236,712420
3816,100,3815,1287608,95792
3915,100,3914,1574412,382596
4019,100,4018,1160327,0
4118,100,4117,1445350,253534
4218,100,4217,1481200,289384
4324,100,4323,1110457,0
4419,100,4418,1299964,108148
4520,100,4519,1175288,0
4624,100,4623,1047340,0
4726,100,4725,1086739,0
4826,100,4824,1129420,0
4926,100,4925,1047340,0
5025,100,5024,1129420,0
5125,100,5124,1289990,98174
5226,100,5225,1050624,0
5326,100,5325,1349834,158018
5424,100,5423,1861215,669399
5523,100,5522,1710643,518827
5626,100,5625,1811025,619209
5724,100,5723,1739324,547508
5827,100,5826,1544327,352511
5927,100,5926,1484424,292608
6031,100,6029,1193342,1526
6130,100,6129,1564216,372400
6228,100,6227,1474450,282634
6329,100,6328,1389671,197855
6430,100,6429,1429567,237751
6532,100,6532,1351852,160036
6629,100,6629,1965525,773709
6730,100,6729,1556830,365014
6827,100,6826,1114021,0
6927,100,6927,581482,0
7028,100,7027,469260,0
7129,100,7129,531252,0
7229,100,7228,519912,0
7330,100,7329,526392,0
7431,100,7430,537732,0
7532,100,7531,576957,0
7634,100,7633,491709,0
7736,100,7735,505743,0
7833,100,7833,2042237,850421
7934,100,7933,1044372,0
8034,100,8034,884777,0
8135,100,8134,904725,0
8235,100,8234,719740,0
8336,100,8335,704541,0
8437,100,8436,739516,0
8536,100,8536,817354,0
8637,100,8636,1099219,0
8737,100,8737,814348,0
8838,100,8837,655388,0
8939,100,8938,644413,0
9038,100,9038,834088,0
9139,100,9139,710232,0
9240,100,9239,999479,0
9341,100,9340,603643,0
9441,100,9440,542592,0
9541,100,9541,1253826,62010
9642,100,9642,588225,0
9743,100,9742,582658,0
9843,100,9843,601311,0
9944,100,9943,608306,0
10045,100,10044,612887,0
10145,100,10145,674583,0
10245,100,10244,784422,0
10346,100,10345,776711,0
10446,100,10445,796728,0
10547,100,10546,912729,0
10647,100,10646,866764,0
10748,100,10748,785599,0
10849,100,10848,691784,0
10950,100,10949,617112,0
11051,100,11050,725221,0
11152,100,11151,783817,0
11252,100,11251,749031,0
11353,100,11352,945676,0
11453,100,11453,778308,0
11554,100,11553,548854,0
11656,100,11655,559036,0
11755,100,11754,1298709,106893
11856,100,11855,829930,0
11956,100,11955,607692,0
12057,100,12056,537732,0
12157,100,12156,487512,0
12258,100,12257,553932,0
12358,100,12358,439907,0
12461,100,12460,508447,0
12561,100,12560,612252,0
12660,100,12659,722557,0
12760,100,12760,790656,0
12861,100,12860,754399,0
12962,100,12961,833932,0
13063,100,13062,652057,0
13163,100,13162,549316,0
13264,100,13263,640590,0
13366,100,13365,598544,0
13464,100,13464,655880,0
13565,100,13564,648388,0
13666,100,13665,791143,0
13767,100,13766,727858,0
13868,100,13868,611086,0
13970,100,13969,548854,0
14069,100,14069,568512,0
14171,100,14170,500472,0
14271,100,14270,570811,0
14372,100,14371,539697,0
14473,100,14472,539352,0
14574,100,14573,481666,0
14674,100,14673,489477,0
14775,100,14774,517374,0
14875,100,14874,847065,0
14976,100,14975,723720,0
15076,100,15076,1009453,0
15176,100,15176,1049349,0
15277,100,15277,1000809,0
15377,100,15377,1188985,0
15478,100,15477,986595,0
15578,100,15577,1566106,374290
15678,100,15678,1109635,0
15779,100,15778,1124154,0
15879,100,15879,1099219,0
15979,100,15979,1119167,0
16080,100,16079,866879,0
16180,100,16180,1004466,0
16281,100,16280,585868,0
16382,100,16381,603121,0
16483,100,16482,664266,0
16584,100,16583,493940,0
16685,100,16684,507331,0
16786,100,16785,539352,0
16887,100,16886,581472,0
16987,100,16987,481666,0
17088,100,17087,509563,0
17190,100,17189,638172,0
17289,100,17288,684139,0
17389,100,17389,769190,0
17490,100,17489,703904,0
17591,100,17590,896313,0
17691,100,17691,886464,0
17791,100,17791,814233,0
17892,100,17891,775087,0
17993,100,17992,759977,0
18093,100,18092,761702,0
18193,100,18192,686840,0
18294,100,18293,761881,0
18395,100,18394,697922,0
18496,100,18495,566024,0
18596,100,18595,542836,0
18698,100,18697,518536,0
18797,100,18796,563997,0
18898,100,18897,544212,0
18999,100,18998,508572,0
19099,100,19098,552268,0
19200,100,19199,511812,0
19301,100,19300,557172,0
19401,100,19400,513432,0
19501,100,19500,1174034,0
19601,100,19601,797817,0
19701,100,19701,622296,0
19802,100,19801,844812,0
19903,100,19903,796234,0
19952,100,19952,764919,0
20054,100,20053,661934,0
20154,100,20153,775519,0
20255,100,20254,655593,0
