Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,73,6,3243945,2516518
93,73,92,3815782,3088355
193,73,192,4326339,3598912
292,73,291,2715027,1987600
393,73,392,1323804,596377
493,73,492,1026658,299231
594,73,593,1192659,465232
694,73,693,972589,245162
794,73,793,998166,270739
895,73,894,1028088,300661
995,73,994,1107880,380453
1101,73,1099,1013273,285846
1204,73,1201,862087,134660
1307,73,1304,847344,119917
1408,73,1405,750009,22582
1507,73,1505,897753,170326
1610,73,1607,802720,75293
1709,73,1706,868204,140777
1811,73,1809,858500,131073
1913,73,1910,796031,68604
2014,73,2011,817016,89589
2115,73,2112,1318132,590705
2218,73,2214,824011,96584
2316,73,2313,847328,119901
2415,73,2412,992966,265539
2514,73,2512,1096477,369050
2613,73,2611,1387428,660001
2712,73,2710,1122134,394707
2816,73,2813,1071542,344115
2919,73,2916,911207,183780
3015,73,3012,2025566,1298139
3114,73,3112,1674231,946804
3216,73,3213,1344407,616980
3316,73,3313,1423278,695851
3417,73,3415,1251196,523769
3517,73,3515,1301386,573959
3617,73,3615,1330067,602640
3721,73,3718,1089988,362561
3824,73,3820,861289,133862
3922,73,3919,960134,232707
4021,73,4018,1295957,568530
4125,73,4121,880176,152749
4224,73,4220,1026658,299231
4320,73,4318,1522399,794972
4422,73,4419,1080705,353278
4523,73,4521,1041619,314192
4626,73,4623,1106451,379024
4727,73,4724,891187,163760
4827,73,4823,976788,249361
4930,73,4927,1251254,523827
5024,73,5022,2117703,1390276
5125,73,5123,1824803,1097376
5223,73,5221,1775080,1047653
5333,73,5331,866081,138654
5430,73,5429,996249,268822
5531,73,5530,623808,0
5633,73,5631,604430,0
5730,73,5729,921773,194346
5833,73,5831,666489,0
5933,73,5932,719020,0
6034,73,6032,735436,8009
6134,73,6133,607392,0
6235,73,6234,600825,0
6336,73,6335,673056,0
6436,73,6434,891851,164424
6535,73,6534,1071384,343957
6636,73,6635,901825,174398
6739,73,6737,941721,214294
6833,73,6832,2073109,1345682
6931,73,6930,1448368,720941
7032,73,7031,839904,112477
7133,73,7132,614950,0
7233,73,7232,637614,0
7334,73,7333,532872,0
7434,73,7434,561824,0
7535,73,7534,529632,0
7636,73,7635,508572,0
7736,73,7735,542937,0
7837,73,7836,502092,0
7937,73,7936,883180,155753
8038,73,8037,620528,0
8139,73,8138,548446,0
8239,73,8238,1558557,831130
8340,73,8339,1078351,350924
8440,73,8439,1261226,533799
8540,73,8540,800008,72581
8640,73,8640,730190,2763
8741,73,8741,557010,0
8842,73,8841,528012,0
8947,73,8946,528357,0
9044,73,9043,918349,190922
9151,73,9149,602691,0
9252,73,9251,533505,0
9356,73,9354,519480,0
9455,73,9454,515614,0
9558,73,9556,462780,0
9662,73,9661,466688,0
9759,73,9758,565304,0
9860,73,9858,551926,0
9962,73,9960,564087,0
10061,73,10060,542370,0
10161,73,10159,598791,0
10264,73,10262,521100,0
10365,73,10364,547020,0
10462,73,10460,610008,0
10564,73,10563,621533,0
10667,73,10666,545400,0
10766,73,10765,551926,0
10863,73,10862,712454,0
10964,73,10963,640223,0
11069,73,11067,550015,0
11170,73,11168,630284,0
11268,73,11266,608117,0
11370,73,11368,536637,0
11472,73,11471,493560,0
11568,73,11567,559153,0
11663,73,11662,701164,0
11766,73,11765,729845,2418
11867,73,11866,1152880,425453
11967,73,11966,873247,145820
12067,73,12066,1030989,303562
12168,73,12167,1088349,360922
12264,73,12263,1195901,468474
12368,73,12367,1370588,643161
12468,73,12467,907920,180493
12571,73,12570,733584,6157
12682,73,12681,390154,0
12779,73,12777,486872,0
12878,73,12877,558390,0
12972,73,12971,1068685,341258
13077,73,13075,692755,0
13177,73,13176,666489,0
13279,73,13277,623953,0
13378,73,13377,676339,0
13480,73,13479,587696,0
13586,73,13584,501659,0
13684,73,13682,575474,0
13786,73,13784,540459,0
13884,73,13883,688099,0
13985,73,13984,552158,0
14085,73,14084,646790,0
14185,73,14184,771517,44090
14290,73,14289,511380,0
14389,73,14388,528992,0
14491,73,14489,567216,0
14591,73,14589,582505,0
14692,73,14690,588238,0
14792,73,14790,561482,0
14893,73,14892,559571,0
14993,73,14992,511792,0
15096,73,15095,516240,0
15144,73,15143,645424,0
15247,73,15246,501659,0
15350,73,15348,514620,0
15448,73,15447,548640,0
15547,73,15546,561330,0
15648,73,15646,564551,0
15747,73,15746,517183,0
15852,73,15850,477360,0
15954,73,15952,456645,0
16051,73,16049,565304,0
16153,73,16152,537300,0
16255,73,16252,509880,0
16354,73,16352,566460,0
16456,73,16453,594127,0
16559,73,16555,749167,21740
16655,73,16651,851991,124564
16757,73,16753,901283,173856
16853,73,16850,1030026,302599
16955,73,16952,808298,80871
17056,73,17053,805509,78082
17157,73,17154,784373,56946
17258,73,17255,832343,104916
17358,73,17355,852591,125164
17459,73,17456,798363,70936
17559,73,17556,817016,89589
17662,73,17659,838001,110574
17762,73,17759,838001,110574
17862,73,17859,877639,150212
17955,73,17954,1143644,416217
18055,73,18053,849670,122243
18156,73,18154,1186665,459238
18257,73,18255,1337237,609810
18358,73,18356,1272706,545279
18458,73,18456,1330067,602640
18560,73,18558,1201993,474566
18661,73,18659,1188815,461388
18760,73,18758,1351577,624150
18860,73,18858,1401768,674341
18961,73,18959,1423278,695851
19063,73,19060,1211178,483751
19162,73,19160,1191230,463803
19273,73,19271,602929,0
19367,73,19364,1137427,410000
19468,73,19465,924019,196592
19579,73,19576,751265,23838
19673,73,19669,844996,117569
19774,73,19771,753984,26557
19877,73,19872,780740,53313
19977,73,19973,742687,15260
20077,73,20073,755953,28526
20179,73,20176,737827,10400
20276,73,20273,864078,136651
20373,73,20370,1207791,480364
20476,73,20474,730745,3318
20577,73,20575,612781,0
20676,73,20675,665788,0
20779,73,20778,556821,0
20879,73,20877,601122,0
20978,73,20977,649054,0
21077,73,21076,584409,0
21178,73,21177,719020,0
21277,73,21276,851955,124528
21379,73,21378,676339,0
21480,73,21479,692755,0
21578,73,21577,876890,149463
21679,73,21678,677410,0
21782,73,21781,692755,0
21884,73,21883,619469,0
21986,73,21984,615571,0
22089,73,22087,571140,0
22186,73,22184,627091,0
22283,73,22282,951695,224268
22384,73,22383,956683,229256
22487,73,22486,735436,8009
22589,73,22587,646841,0
22690,73,22688,584801,0
22792,73,22790,612781,0
22887,73,22886,979838,252411
22986,73,22985,1834569,1107142
23085,73,23084,2077822,1350395
23185,73,23185,1733658,1006231
23286,73,23285,1418174,690747
23389,73,23388,792111,64684
23492,73,23491,570962,0
23590,73,23589,737015,9588
23689,73,23688,844566,117139
23794,73,23793,709171,0
23894,73,23893,617241,0
23999,73,23998,506520,0
24100,73,24099,503280,0
24199,73,24197,566148,0
24305,73,24304,529977,0
24401,73,24399,684481,0
24502,73,24500,492680,0
24600,73,24598,682521,0
24701,73,24700,507632,0
24804,73,24803,551926,0
24903,73,24902,643092,0
25004,73,25003,529758,0
25102,73,25101,696038,0
25203,73,25201,682905,0
25303,73,25302,855498,128071
25402,73,25401,901825,174398
25505,73,25503,686188,0
25605,73,25604,597542,0
25703,73,25702,881877,154450
25809,73,25808,613634,0
25910,73,25909,548104,0
26014,73,26012,525170,0
26113,73,26112,571319,0
26214,73,26212,508140,0
26317,73,26316,537300,0
26420,73,26419,481194,0
26516,73,26514,561484,0
26617,73,26615,616906,0
26717,73,26716,559571,0
26821,73,26819,601617,0
26920,73,26919,544281,0
27018,73,27017,619776,0
27117,73,27116,600825,0
27215,73,27214,966657,239230
27316,73,27315,797098,69671
27417,73,27415,836994,109567
27520,73,27517,817046,89619
27620,73,27618,901036,173609
