Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,89,21,2167038,1285026
98,89,96,2898766,2016754
190,89,189,2093865,1211853
293,89,292,2600446,1718434
395,89,394,3061997,2179985
493,89,492,1795546,913534
593,89,592,848977,0
694,89,693,852318,0
795,89,794,807073,0
897,89,895,927258,45246
996,89,995,884108,2096
1098,89,1097,853817,0
1199,89,1197,823744,0
1300,89,1299,723247,0
1401,89,1399,768607,0
1502,89,1500,810313,0
1602,89,1602,950661,68649
1703,89,1702,589653,0
1804,89,1804,638618,0
1904,89,1904,580936,0
2005,89,2004,544255,0
2106,89,2105,608306,0
2207,89,2206,608306,0
2307,89,2306,574186,0
2407,89,2407,540972,0
2508,89,2507,559913,0
2608,89,2607,1447485,565473
2709,89,2708,1065669,183657
2811,89,2811,704198,0
2910,89,2909,726544,0
3010,89,3010,587606,0
3110,89,3110,778118,0
3211,89,3210,542592,0
3311,89,3311,582356,0
3413,89,3412,548446,0
3513,89,3513,603870,0
3614,89,3614,571752,0
3716,89,3715,565272,0
3817,89,3816,640182,0
3917,89,3916,534492,0
4019,89,4018,584712,0
4119,89,4119,501752,0
4220,89,4219,531365,0
4320,89,4319,1218917,336905
4421,89,4420,929670,47658
4521,89,4521,790034,0
4621,89,4621,888369,6357
4722,89,4721,918390,36378
4822,89,4822,1014077,132065
4923,89,4922,538357,0
5023,89,5023,1419342,537330
5124,89,5123,1492515,610503
5224,89,5224,1188566,306554
5324,89,5324,1070364,188352
5425,89,5424,780060,0
5525,89,5525,894761,12749
5626,89,5625,795021,0
5727,89,5726,695281,0
5828,89,5827,844891,0
5928,89,5927,571000,0
6029,89,6028,544212,0
6129,89,6128,524340,0
6229,89,6229,537732,0
6332,89,6331,442139,0
6431,89,6430,481666,0
6533,89,6533,444370,0
6632,89,6631,1323644,441632
6733,89,6732,915542,33530
6833,89,6832,928426,46414
6933,89,6933,854865,0
7034,89,7033,679622,0
7135,89,7134,533693,0
7235,89,7234,563816,0
7336,89,7335,531252,0
7437,89,7437,560411,0
7537,89,7536,515008,0
7638,89,7637,942392,60380
7738,89,7738,597556,0
7839,89,7838,952162,70150
7939,89,7938,859852,0
8039,89,8039,1003760,121748
8140,89,8139,981245,99233
8240,89,8239,924019,42007
8341,89,8340,814969,0
8441,89,8440,934657,52645
8541,89,8541,894761,12749
8642,89,8641,931001,48989
8743,89,8742,1034398,152386
8843,89,8842,1014450,132438
8943,89,8943,929670,47658
9044,89,9043,997191,115179
9144,89,9144,749530,0
9245,89,9244,935276,53264
9345,89,9344,980305,98293
9445,89,9445,884618,2606
9546,89,9545,809982,0
9646,89,9646,635437,0
9747,89,9746,904735,22723
9847,89,9846,856196,0
9947,89,9947,698872,0
10048,89,10047,462468,0
10148,89,10147,546898,0
10248,89,10248,777673,0
10349,89,10348,944631,62619
10450,89,10449,459648,0
10552,89,10551,465572,0
10652,89,10651,511794,0
10752,89,10751,491709,0
10854,89,10853,439263,0
10954,89,10953,568512,0
11055,89,11054,712454,0
11155,89,11155,495611,0
11256,89,11255,554179,0
11356,89,11356,552312,0
11457,89,11456,553888,0
11558,89,11557,513432,0
11658,89,11658,521532,0
11760,89,11759,555552,0
11860,89,11859,496800,0
11960,89,11959,532872,0
12061,89,12060,555552,0
12162,89,12161,511812,0
12263,89,12262,549417,0
12363,89,12362,547452,0
12464,89,12463,602532,0
12567,89,12567,2004724,1122712
12668,89,12668,1765032,883020
12772,89,12771,1137897,255885
12869,89,12868,1116327,234315
12972,89,12971,1952174,1070162
13071,89,13070,2182950,1300938
13171,89,13170,2018317,1136305
13274,89,13273,2227988,1345976
13372,89,13371,2477521,1595509
13474,89,13473,1827406,945394
13574,89,13573,1962491,1080479
13676,89,13675,1831163,949151
13777,89,13776,1594771,712759
13877,89,13876,1341480,459468
13972,89,13971,1341480,459468
14072,89,14072,1408084,526072
14173,89,14173,1408084,526072
14275,89,14274,1036592,154580
14374,89,14374,1433408,551396
14475,89,14474,1385570,503558
14575,89,14574,1318026,436014
14675,89,14675,1357426,475414
14776,89,14775,1408084,526072
14876,89,14876,1402456,520444
14977,89,14976,1272996,390984
15077,89,15077,1318026,436014
15178,89,15177,1272996,390984
15278,89,15277,1351798,469786
15379,89,15378,1363055,481043
15479,89,15478,1261739,379727
15579,89,15579,953102,71090
15680,89,15679,1054418,172406
15780,89,15780,1391198,509186
15881,89,15880,1334912,452900
15981,89,15981,1239224,357212
16082,89,16081,1169803,287791
16182,89,16182,1548801,666789
16283,89,16282,1385570,503558
16384,89,16382,1207798,325786
16483,89,16483,1284254,402242
16584,89,16583,1464371,582359
16685,89,16684,1098508,216496
16785,89,16784,1509401,627389
16886,89,16885,1531915,649903
16986,89,16985,1391198,509186
17086,89,17086,1661375,779363
17187,89,17186,1391198,509186
17287,89,17287,1436228,554216
17388,89,17387,1323654,441642
17489,89,17488,1137908,255896
17590,89,17589,1513152,631140
17639,89,17639,1154794,272782
17740,89,17739,945593,63581
17841,89,17840,438912,0
17942,89,17941,528491,0
18044,89,18043,890247,8235
18144,89,18143,856475,0
18244,89,18243,621851,0
18345,89,18344,1256110,374098
18445,89,18445,394246,0
18546,89,18545,603525,0
18646,89,18646,579375,0
18747,89,18746,610675,0
18848,89,18847,581126,0
18950,89,18949,409923,0
19050,89,19049,531252,0
19150,89,19150,504489,0
19251,89,19250,653996,0
19352,89,19351,633657,0
19454,89,19453,400343,0
19554,89,19554,459348,0
19655,89,19654,533157,0
19755,89,19754,587321,0
19856,89,19855,771552,0
19956,89,19955,849878,0
20059,89,20058,361152,0
20158,89,20157,478318,0
20259,89,20258,579025,0
20359,89,20358,650276,0
20460,89,20459,610675,0
20560,89,20560,581126,0
20661,89,20660,401608,0
20762,89,20761,688628,0
20863,89,20862,1109203,227191
20964,89,20963,560632,0
21064,89,21063,482630,0
21165,89,21164,590976,0
21266,89,21265,386408,0
21366,89,21366,573372,0
21467,89,21466,629291,0
21568,89,21567,822703,0
21668,89,21667,912761,30749
21769,89,21768,828331,0
21869,89,21868,625699,0
21970,89,21969,694183,0
22071,89,22070,486872,0
22171,89,22171,742003,0
22272,89,22271,804384,0
22372,89,22371,645411,0
22473,89,22472,854865,0
22574,89,22573,520124,0
22675,89,22674,589849,0
22775,89,22774,619159,0
22876,89,22875,526392,0
22976,89,22976,544212,0
23077,89,23077,540950,0
23178,89,23177,476086,0
23280,89,23279,473855,0
23381,89,23380,478980,0
23482,89,23481,580197,0
23583,89,23582,440379,0
23683,89,23682,492371,0
23783,89,23782,1263800,381788
23884,89,23883,700268,0
23984,89,23983,1340540,458528
24085,89,24084,1363055,481043
24185,89,24185,1149166,267154
24286,89,24285,594259,0
24387,89,24386,482652,0
24487,89,24486,537732,0
24588,89,24587,526391,0
24688,89,24688,508572,0
24789,89,24788,617633,0
24889,89,24889,558002,0
24990,89,24989,493560,0
25091,89,25090,474120,0
25192,89,25191,539697,0
25292,89,25292,515052,0
25393,89,25392,516672,0
25493,89,25493,502092,0
25594,89,25594,513432,0
25697,89,25695,502092,0
25795,89,25795,560412,0
25896,89,25896,532872,0
25997,89,25996,537732,0
26107,89,26104,587321,0
26206,89,26205,736041,0
26308,89,26307,866522,0
26411,89,26408,496198,0
26512,89,26511,528992,0
26611,89,26610,660210,0
26713,89,26711,575474,0
26812,89,26811,721567,0
26914,89,26913,629102,0
27012,89,27010,1532855,650843
27111,89,27110,1661375,779363
27213,89,27211,1499083,617071
27313,89,27312,1088190,206178
27414,89,27413,879929,0
27514,89,27513,1031904,149892
27615,89,27614,951695,69683
27715,89,27714,851786,0
27816,89,27815,705441,0
27916,89,27915,902444,20432
28016,89,28015,705441,0
28117,89,28116,767356,0
28217,89,28216,1257050,375038
28312,89,28311,913701,31689
