Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
51,100,50,3074617,2237676
99,100,98,2620942,1784001
201,100,200,3503520,2666579
299,100,298,3182946,2346005
400,100,399,2917673,2080732
501,100,500,1472138,635197
601,100,600,1495051,658110
701,100,700,1038062,201121
803,100,802,1267464,430523
902,100,901,1112867,275926
1003,100,1002,1072971,236030
1103,100,1102,1052381,215440
1204,100,1202,943309,106368
1304,100,1303,682758,0
1407,100,1406,1068480,231539
1506,100,1505,556091,0
1607,100,1607,453769,0
1708,100,1707,474971,0
1809,100,1808,526901,0
1910,100,1910,493940,0
2010,100,2009,1069307,232366
2111,100,2110,562625,0
2211,100,2211,559170,0
2312,100,2311,859852,22911
2413,100,2412,564622,0
2512,100,2512,1069307,232366
2614,100,2613,584271,0
2714,100,2713,485892,0
2815,100,2814,452653,0
2917,100,2917,768268,0
3015,100,3014,1737810,900869
3116,100,3115,1125333,288392
3217,100,3216,500861,0
3317,100,3317,442610,0
3419,100,3418,445958,0
3519,100,3519,538077,0
3619,100,3619,758419,0
3720,100,3719,524367,0
3821,100,3820,487512,0
3921,100,3921,450421,0
4022,100,4021,471623,0
4123,100,4123,594432,0
4224,100,4223,443726,0
4324,100,4323,460464,0
4425,100,4425,474971,0
4526,100,4525,486129,0
4628,100,4627,485013,0
4727,100,4727,499004,0
4829,100,4828,489477,0
4930,100,4929,515142,0
5029,100,5029,1415155,578214
5129,100,5129,1518820,681879
5230,100,5229,2081974,1245033
5330,100,5330,1709129,872188
5431,100,5430,1376890,539949
5532,100,5531,442152,0
5632,100,5632,555552,0
5733,100,5732,531252,0
5835,100,5834,478318,0
5934,100,5934,468275,0
6036,100,6035,472739,0
6136,100,6135,497760,0
6237,100,6236,488700,0
6338,100,6337,436559,0
6439,100,6438,560757,0
6539,100,6538,1238865,401924
6640,100,6639,506952,0
6741,100,6740,451537,0
6842,100,6842,469391,0
6943,100,6943,463048,0
7043,100,7043,477202,0
7145,100,7144,487245,0
7245,100,7244,608873,0
7345,100,7345,576554,0
7445,100,7445,1032158,195217
7546,100,7545,552579,0
7647,100,7646,507969,0
7748,100,7747,484272,0
7848,100,7847,498852,0
7949,100,7948,542712,0
8050,100,8049,505332,0
8149,100,8149,1497310,660369
8250,100,8249,967333,130392
8350,100,8350,751852,0
8451,100,8450,715737,0
8552,100,8551,515052,0
8652,100,8652,696038,0
8753,100,8752,853161,16220
8854,100,8853,565646,0
8955,100,8954,524771,0
9055,100,9054,503712,0
9156,100,9155,521532,0
9256,100,9256,528012,0
9357,100,9356,549072,0
9457,100,9457,571752,0
9558,100,9558,428104,0
9659,100,9658,463186,0
9761,100,9759,447074,0
9861,100,9860,462696,0
9962,100,9961,486065,0
10063,100,10062,486129,0
10164,100,10163,477202,0
10265,100,10264,430824,0
10366,100,10365,478318,0
10468,100,10467,758419,0
10566,100,10565,1385532,548591
10667,100,10666,498413,0
10769,100,10768,476086,0
10869,100,10869,487846,0
,,10968,532872,0
