Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
37,100,36,2046470,1242430
138,100,137,2465791,1661751
239,100,238,2559131,1755091
338,100,337,2154806,1350766
434,100,433,2499563,1695523
539,100,538,1965118,1161078
641,100,640,2112869,1308829
742,100,741,1878061,1074021
841,100,840,1889319,1085279
942,100,941,1644489,840449
1044,100,1043,1622914,818874
1139,100,1138,930587,126547
1240,100,1240,423067,0
1341,100,1340,633657,0
1441,100,1440,502135,0
1542,100,1542,474971,0
1643,100,1642,453769,0
1744,100,1743,547797,0
1794,100,1793,420659,0
1895,100,1894,549504,0
1996,100,1995,473339,0
2096,100,2096,519912,0
2198,100,2197,557172,0
2298,100,2297,502092,0
2398,100,2398,495611,0
2499,100,2499,514026,0
2600,100,2599,1036592,232552
2700,100,2699,620524,0
2801,100,2800,534069,0
2902,100,2901,609603,0
3001,100,3000,1394482,590442
3102,100,3102,737030,0
3202,100,3201,735436,0
3303,100,3302,557517,0
3404,100,3403,596225,0
3504,100,3503,557172,0
3605,100,3604,539352,0
3706,100,3705,660220,0
3807,100,3806,534492,0
3908,100,3907,617248,0
4008,100,4008,537732,0
4109,100,4108,549072,0
4209,100,4209,552312,0
4310,100,4309,552312,0
4411,100,4410,1008830,204790
4511,100,4510,904735,100695
4611,100,4611,949618,145578
4712,100,4712,671256,0
4813,100,4812,616561,0
4913,100,4912,500667,0
5014,100,5013,817516,13476
5114,100,5113,1059107,255067
5215,100,5214,640224,0
5316,100,5315,1200299,396259
5416,100,5416,1137908,333868
5516,100,5516,1044372,240332
5617,100,5616,1198969,394929
5717,100,5716,1054346,250306
5819,100,5817,1174034,369994
5918,100,5917,873331,69291
6019,100,6018,788361,0
6119,100,6118,729552,0
6220,100,6219,787867,0
6321,100,6320,843782,39742
6421,100,6420,817516,13476
6522,100,6521,738477,0
6622,100,6621,736766,0
6722,100,6721,762414,0
6823,100,6822,718954,0
6923,100,6923,507497,0
7025,100,7024,480550,0
7127,100,7126,502352,0
7227,100,7226,451537,0
7328,100,7328,446501,0
7429,100,7428,471623,0
