Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
24,100,22,2694533,1925802
102,100,100,3075532,2306801
194,100,193,3642904,2874173
293,100,292,3072777,2304046
393,100,393,1687547,918816
494,100,493,933335,164604
594,100,593,1147776,379045
694,100,694,992537,223806
795,100,794,1147776,379045
896,100,895,1132815,364084
996,100,996,937680,168949
1097,100,1096,961827,193096
1198,100,1196,766425,0
1298,100,1297,828806,60075
1399,100,1398,831006,62275
1509,100,1507,742404,0
1613,100,1610,831503,62772
1712,100,1709,810021,41290
1814,100,1811,856654,87923
1917,100,1913,673027,0
2011,100,2008,1363287,594556
2114,100,2111,952535,183804
2210,100,2209,986605,217874
2319,100,2318,557017,0
2415,100,2414,610675,0
2515,100,2513,742003,0
2619,100,2617,528954,0
2719,100,2717,608117,0
2823,100,2822,519480,0
2915,100,2914,1504215,735484
3010,100,3010,1575916,807185
3110,100,3110,659923,0
3212,100,3211,508572,0
3311,100,3311,477792,0
3412,100,3412,493991,0
3513,100,3512,487468,0
3614,100,3613,504489,0
3714,100,3714,502092,0
3815,100,3814,468072,0
3915,100,3915,518292,0
4016,100,4015,510192,0
4117,100,4116,686188,0
4217,100,4216,541728,0
4318,100,4317,527081,0
4419,100,4419,457919,0
4521,100,4520,477792,0
4621,100,4620,529977,0
4721,100,4720,447055,0
4822,100,4822,545832,0
4922,100,4921,1751416,982685
5025,100,5024,1924232,1155501
5123,100,5122,1856608,1087877
5222,100,5221,2527853,1759122
5322,100,5321,1544096,775365
5424,100,5423,1171251,402520
5525,100,5524,1277708,508977
5625,100,5624,1766368,997637
5726,100,5725,869614,100883
5828,100,5827,768193,0
5927,100,5926,1079337,310606
6028,100,6027,800610,31879
6129,100,6128,721627,0
6231,100,6230,553086,0
6332,100,6331,549417,0
6432,100,6431,511811,0
6533,100,6532,519912,0
6634,100,6633,449305,0
6735,100,6734,454885,0
6835,100,6835,501752,0
6936,100,6936,489477,0
7037,100,7036,454413,0
7138,100,7137,525111,0
7239,100,7238,531597,0
7343,100,7342,1981593,1212862
7441,100,7440,1426477,657746
7541,100,7541,1811025,1042294
7639,100,7638,1038953,270222
7740,100,7739,818252,49521
7841,100,7840,615919,0
7942,100,7941,448190,0
8043,100,8042,505099,0
8146,100,8146,1752150,983419
8249,100,8248,1095784,327053
8355,100,8353,755099,0
8457,100,8455,631434,0
8553,100,8551,1161150,392419
8653,100,8651,774835,6104
8755,100,8753,774835,6104
8856,100,8855,679622,0
8957,100,8955,715737,0
9059,100,9057,638429,0
9163,100,9162,483124,0
9260,100,9259,577043,0
9362,100,9360,533505,0
9460,100,9459,637898,0
9559,100,9557,801100,32369
9657,100,9656,1812529,1043798
9757,100,9756,1375153,606422
9857,100,9856,1181561,412830
9958,100,9957,1241527,472796
10059,100,10058,1102690,333959
10164,100,10161,738720,0
10260,100,10258,1191230,422499
10362,100,10360,894470,125739
10460,100,10458,1300223,531492
10564,100,10562,1139344,370613
10669,100,10666,847328,78597
10770,100,10766,805358,36627
10870,100,10867,856654,87923
10973,100,10969,769273,542
11072,100,11068,842664,73933
11176,100,11173,754495,0
11272,100,11269,903124,134393
11376,100,11373,711907,0
11475,100,11472,788118,19387
11579,100,11575,796147,27416
11680,100,11676,757267,0
11782,100,11778,741067,0
11881,100,11877,859098,90367
11978,100,11975,866867,98136
12078,100,12075,975638,206907
12178,100,12175,908702,139971
12278,100,12275,928935,160204
12372,100,12370,1745932,977201
12473,100,12471,1271632,502901
12579,100,12576,1166295,397564
12680,100,12677,937152,168421
12782,100,12779,946016,177285
12882,100,12879,772992,4261
12982,100,12979,904319,135588
13083,100,13080,989683,220952
13184,100,13181,851788,83057
13284,100,13281,930585,161854
13386,100,13383,953568,184837
13486,100,13483,948766,180035
13587,100,13584,1047628,278897
13690,100,13686,858986,90255
13789,100,13785,878023,109292
13888,100,13885,891187,122456
13989,100,13986,904320,135589
14091,100,14087,730745,0
14193,100,14189,868313,99582
14293,100,14290,805358,36627
14393,100,14390,738656,0
14439,100,14436,910886,142155
14539,100,14537,874771,106040
14638,100,14636,981775,213044
14738,100,14736,849670,80939
14832,100,14831,634568,0
14933,100,14932,1192761,424030
15033,100,15032,1143644,374913
15134,100,15133,1133090,364359
15235,100,15235,868672,99941
15336,100,15335,770086,1355
15436,100,15436,725203,0
15537,100,15536,909722,140991
15637,100,15636,839904,71173
15737,100,15737,730190,0
15838,100,15837,725203,0
15938,100,15938,756456,0
16039,100,16038,854865,86134
16139,100,16139,839589,70858
16240,100,16239,854865,86134
16340,100,16339,906066,137335
16440,100,16440,785047,16316
16541,100,16541,859852,91121
16642,100,16641,894761,126030
16742,100,16742,705255,0
16842,100,16842,952902,184171
16942,100,16941,1329114,560383
17042,100,17041,999827,231096
17143,100,17142,884618,115887
17243,100,17243,849878,81147
17344,100,17343,876517,107786
17445,100,17444,985934,217203
17545,100,17544,939644,170913
17646,100,17645,934657,165926
17746,100,17745,947915,179184
