Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,100,35,2013149,956174
117,100,115,2769739,1712764
200,100,197,2744877,1687902
296,100,294,2604160,1547185
396,100,395,2553502,1496527
497,100,496,2637932,1580957
602,100,601,2238299,1181324
699,100,697,2751446,1694471
794,100,794,2294583,1237608
895,100,895,1365852,308877
997,100,996,689472,0
1098,100,1097,489132,0
1198,100,1198,513000,0
1299,100,1299,513432,0
1400,100,1399,558792,0
1501,100,1500,537732,0
1601,100,1601,550692,0
1702,100,1701,526392,0
1802,100,1802,452653,0
1904,100,1903,462696,0
2004,100,2003,513964,0
2104,100,2104,586669,0
2205,100,2204,568978,0
2305,100,2304,526435,0
2407,100,2406,508572,0
2509,100,2507,487245,0
2608,100,2608,1053478,0
2709,100,2708,584409,0
2809,100,2809,558002,0
2910,100,2909,539352,0
3010,100,3010,570132,0
3112,100,3111,490528,0
3213,100,3211,958694,0
3312,100,3311,1126651,69676
3412,100,3412,1007976,0
3513,100,3512,559342,0
3614,100,3613,519912,0
3714,100,3713,542592,0
3815,100,3814,557171,0
3915,100,3915,554277,0
4017,100,4016,521532,0
4118,100,4117,586669,0
4217,100,4217,582847,0
4319,100,4318,532872,0
4419,100,4418,893923,0
4519,100,4518,1126651,69676
4619,100,4619,1019437,0
4719,100,4718,844891,0
4820,100,4819,963419,0
4920,100,4919,899748,0
5021,100,5021,894761,0
5121,100,5120,1177309,120334
5221,100,5221,997191,0
5322,100,5321,1107419,50444
5422,100,5422,859852,0
5523,100,5522,829930,0
5623,100,5623,939644,0
5724,100,5723,822033,0
5824,100,5823,760112,0
5925,100,5924,914709,0
6025,100,6024,891105,0
6126,100,6125,899748,0
6226,100,6225,819956,0
6327,100,6326,819956,0
6427,100,6426,790034,0
6527,100,6526,809982,0
6628,100,6627,800008,0
6729,100,6728,790034,0
6831,100,6830,384585,0
6930,100,6929,497288,0
7031,100,7030,452597,0
7131,100,7131,1203956,146981
7233,100,7232,643659,0
7332,100,7332,481032,0
