Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
56,100,55,1475196,998680
101,100,100,3044504,2567988
207,100,206,2416331,1939815
295,100,294,2948803,2472287
395,100,394,2405009,1928493
497,100,496,1541124,1064608
595,100,595,2306852,1830336
697,100,696,992310,515794
797,100,797,533693,57177
898,100,897,459972,0
998,100,998,563651,87135
1099,100,1098,479434,2918
1200,100,1200,499393,22877
1301,100,1300,521532,45016
1402,100,1401,470507,0
1503,100,1502,529632,53116
1603,100,1603,938995,462479
1705,100,1705,1296282,819766
1806,100,1805,1079220,602704
1908,100,1907,1140379,663863
2013,100,2011,961977,485461
2112,100,2111,1419652,943136
2213,100,2212,1022347,545831
2317,100,2315,673056,196540
2415,100,2414,956683,480167
2517,100,2516,792111,315595
2612,100,2611,1583086,1106570
2716,100,2715,807072,330556
2816,100,2815,742241,265725
2920,100,2918,597542,121026
3019,100,3018,1468364,991848
3117,100,3116,1963101,1486585
3217,100,3216,1432514,955998
3317,100,3316,1182429,705913
3422,100,3421,682905,206389
3521,100,3520,911799,435283
3622,100,3621,687384,210868
3726,100,3725,655550,179034
3828,100,3826,563816,87300
3929,100,3928,568173,91657
4025,100,4024,931747,455231
4126,100,4125,946708,470192
4230,100,4228,673138,196622
4330,100,4328,544995,68479
4431,100,4429,568079,91563
4536,100,4534,491940,15424
4634,100,4633,598791,122275
4735,100,4734,485035,8519
4836,100,4834,532814,56298
4935,100,4933,617444,140928
5037,100,5036,622107,145591
5129,100,5128,1733658,1257142
5226,100,5225,1583086,1106570
5327,100,5326,1046462,569946
5427,100,5427,1264583,788067
5527,100,5527,956269,479753
5628,100,5627,937672,461156
5729,100,5728,909722,433206
5829,100,5829,859852,383336
5930,100,5929,460532,0
6031,100,6030,515052,38536
6131,100,6131,560412,83896
6233,100,6232,528012,51496
6333,100,6333,519912,43396
6434,100,6433,555552,79036
6535,100,6534,576957,100441
6636,100,6634,487512,10996
6737,100,6736,474971,0
6838,100,6838,473855,0
6939,100,6938,451473,0
7039,100,7038,461580,0
7140,100,7139,549072,72556
7240,100,7240,516672,40156
7342,100,7341,519912,43396
7442,100,7442,471623,0
7542,100,7541,1709129,1232613
7643,100,7642,1250243,773727
7744,100,7743,1027970,551454
7844,100,7844,643507,166991
7945,100,7944,469692,0
8046,100,8045,537732,61216
8145,100,8144,1278924,802408
8247,100,8247,1909892,1433376
8346,100,8346,1798983,1322467
8447,100,8447,769588,293072
8548,100,8547,1293264,816748
8648,100,8648,497812,21296
8749,100,8748,523152,46636
8850,100,8849,1089255,612739
8951,100,8950,564005,87489
9052,100,9051,566891,90375
9153,100,9152,503712,27196
9253,100,9253,537732,61216
9354,100,9353,790691,314175
9455,100,9454,522035,45519
9555,100,9554,479412,2896
9655,100,9654,492371,15855
9756,100,9755,477202,686
9857,100,9856,478318,1802
9959,100,9958,582658,106142
10059,100,10059,479434,2918
10161,100,10160,462696,0
10261,100,10261,565646,89130
10362,100,10361,515095,38579
10463,100,10462,567237,90721
10563,100,10563,549417,72901
10665,100,10664,542937,66421
10765,100,10765,492371,15855
10867,100,10866,518292,41776
10968,100,10967,516672,40156
11069,100,11068,547452,70936
11167,100,11166,773899,297383
11268,100,11267,774673,298157
11369,100,11368,730741,254225
11470,100,11469,777913,301397
11569,100,11568,1516815,1040299
11670,100,11669,789364,312848
11773,100,11772,756853,280337
11871,100,11870,757705,281189
11972,100,11971,782773,306257
12073,100,12072,680033,203517
12173,100,12172,730741,254225
12278,100,12277,730741,254225
12376,100,12374,818165,341649
12478,100,12477,777913,301397
12577,100,12576,730741,254225
12678,100,12677,726277,249761
12779,100,12778,727393,250877
12881,100,12879,722880,246364
12981,100,12980,860972,384456
13081,100,13080,737413,260897
13132,100,13131,676686,200170
13233,100,13232,654368,177852
13333,100,13332,729313,252797
13434,100,13433,771433,294917
13535,100,13533,798643,322127
13636,100,13635,769045,292529
13736,100,13735,763333,286817
13835,100,13834,735793,259277
13936,100,13935,781153,304637
14037,100,14036,784393,307877
14138,100,14137,763333,286817
14238,100,14237,763333,286817
14340,100,14339,718825,242309
14440,100,14439,784393,307877
14541,100,14540,773053,296537
14641,100,14640,735793,259277
14742,100,14741,721814,245298
14843,100,14842,694087,217571
14943,100,14942,698947,222431
15046,100,15045,725161,248645
15144,100,15143,1395910,919394
15245,100,15244,778671,302155
15346,100,15345,789352,312836
15447,100,15446,786013,309497
15549,100,15547,792493,315977
15647,100,15646,753613,277097
15749,100,15747,784393,307877
15849,100,15848,731807,255291
15950,100,15949,740784,264268
16052,100,16050,726277,249761
16152,100,16151,758638,282122
16253,100,16252,634281,157765
16354,100,16353,648216,171700
16455,100,16454,779692,303176
16556,100,16554,822943,346427
16657,100,16655,781153,304637
16758,100,16757,777145,300629
16858,100,16857,718466,241950
16959,100,16958,744131,267615
17060,100,17059,773053,296537
17160,100,17158,745062,268546
17261,100,17260,735793,259277
17361,100,17360,727499,250983
17463,100,17462,743015,266499
17563,100,17562,636514,159998
17663,100,17662,748595,272079
17765,100,17764,788485,311969
17865,100,17864,838291,361775
