Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,96,14,2574023,1280940
88,96,87,2475651,1182568
188,96,187,3278164,1985081
289,96,288,1793090,500007
389,96,388,1491913,198830
491,96,489,854599,0
590,96,589,2241154,948071
691,96,690,875824,0
808,96,804,728107,0
904,96,901,893882,0
1007,96,1004,826608,0
1109,96,1105,789571,0
1210,96,1207,799852,0
1309,96,1305,954584,0
1413,96,1409,805099,0
1512,96,1508,811319,0
1613,96,1610,817052,0
1712,96,1709,828675,0
1812,96,1809,800695,0
1913,96,1910,851991,0
2014,96,2010,905619,0
2114,96,2111,849659,0
2213,96,2210,950284,0
2315,96,2311,821680,0
2416,96,2413,812353,0
2517,96,2514,798363,0
2619,96,2616,739447,0
2721,96,2717,792907,0
2817,96,2814,928225,0
2914,96,2912,1046606,0
3016,96,3013,1360788,67705
3121,96,3119,1355801,62718
3216,96,3212,1285983,0
3316,96,3313,1146347,0
3420,96,3417,880812,0
3517,96,3516,801100,0
3621,96,3620,559153,0
3722,96,3721,648896,0
3822,96,3821,670832,0
3915,96,3914,1329837,36754
4019,96,4018,1411004,117921
4123,96,4122,660344,0
4220,96,4219,939886,0
4317,96,4317,1540065,246982
4421,96,4420,756456,0
4522,96,4521,665308,0
4622,96,4621,1001667,0
4726,96,4725,596063,0
4824,96,4822,812059,0
4921,96,4920,1411004,117921
5020,96,5020,1045329,0
5129,96,5126,841981,0
5223,96,5221,1712148,419065
5323,96,5323,1105076,0
5425,96,5424,996579,0
5526,96,5525,1211020,0
5626,96,5625,1155734,0
5726,96,5725,1273936,0
5828,96,5827,1031488,0
5932,96,5931,996510,0
6032,96,6031,1056355,0
6129,96,6128,1340287,47204
6229,96,6229,1353465,60382
6331,96,6330,1340287,47204
6428,96,6428,1366032,72949
6526,96,6526,1046381,0
6627,96,6626,587617,0
6740,96,6738,628542,0
6837,96,6836,668740,0
6941,96,6939,588238,0
7042,96,7040,537936,0
7146,96,7144,551880,0
7246,96,7244,530819,0
7343,96,7342,715373,0
7446,96,7445,669581,0
7544,96,7542,661745,0
7644,96,7642,752246,0
7741,96,7740,1206033,0
7841,96,7840,1191072,0
7941,96,7940,1324594,31511
8044,96,8043,1206023,0
8146,96,8143,1497936,204853
8245,96,8244,1621730,328647
8339,96,8339,1417007,123924
8440,96,8439,1154076,0
8540,96,8540,1171114,0
8641,96,8640,1041452,0
8741,96,8740,1181088,0
8841,96,8841,1041868,0
8942,96,8942,891249,0
9042,96,9042,1028349,0
9143,96,9142,1243073,0
9243,96,9242,1072666,0
9343,96,9343,1014450,0
9444,96,9443,1014077,0
9544,96,9543,929670,0
9645,96,9644,1084268,0
9745,96,9744,986231,0
9845,96,9845,894761,0
9946,96,9945,1244853,0
10047,96,10046,1454914,161831
10147,96,10146,1363641,70558
10248,96,10248,1377039,83956
10348,96,10347,1379305,86222
10448,96,10447,1178292,0
10548,96,10548,1169047,0
10649,96,10648,810950,0
10749,96,10748,729298,0
10850,96,10849,955411,0
10951,96,10951,1141202,0
11052,96,11051,1075987,0
11152,96,11152,959582,0
11253,96,11252,1029401,0
11354,96,11353,829920,0
11454,96,11454,594373,0
11555,96,11554,663206,0
11656,96,11655,612969,0
11757,96,11756,468275,0
11857,96,11857,434327,0
11958,96,11957,502867,0
12068,96,12067,506944,0
12161,96,12159,796089,0
12261,96,12260,516091,0
12361,96,12360,694388,0
12461,96,12461,721567,0
12561,96,12561,791251,0
12662,96,12661,738720,0
12762,96,12762,735436,0
12863,96,12862,1228891,0
12963,96,12963,844891,0
13063,96,13063,919686,0
13164,96,13163,869816,0
13265,96,13264,1053714,0
13365,96,13364,1089245,0
13465,96,13465,715851,0
13566,96,13565,814348,0
13667,96,13666,709285,0
13768,96,13767,1369848,76765
13872,96,13871,2318968,1025885
13972,96,13971,1583128,290045
14078,96,14076,1064206,0
14174,96,14173,2326138,1033055
14277,96,14275,2529051,1235968
14371,96,14371,2179792,886709
14472,96,14471,2746230,1453147
14578,96,14577,2449163,1156080
14678,96,14677,2280099,987016
14778,96,14777,2031783,738700
14879,96,14878,1927250,634167
14978,96,14978,1948761,655678
15078,96,15077,2030426,737343
15178,96,15178,1915704,622621
15279,96,15278,1952423,659340
15381,96,15378,1891175,598092
15481,96,15479,1492669,199586
15579,96,15579,1915704,622621
15681,96,15680,2054277,761194
15780,96,15780,2016086,723003
15882,96,15881,2048918,755835
15982,96,15981,2020237,727154
16083,96,16082,2192510,899427
16182,96,16181,1858343,565260
16281,96,16281,1877060,583977
16383,96,16382,1920080,626997
16433,96,16432,2113673,820590
16534,96,16533,1719318,426235
16634,96,16634,1783849,490766
16736,96,16735,1791019,497936
16836,96,16836,1826869,533786
16937,96,16936,1798189,505106
17037,96,17037,2084993,791910
17138,96,17137,1927250,634167
17234,96,17233,1669127,376044
17334,96,17334,1974423,681340
17435,96,17434,1794228,501145
17535,96,17534,1938572,645489
17635,96,17634,1920345,627262
17736,96,17735,1971139,678056
17836,96,17835,1812794,519711
17937,96,17936,1723469,430386
18037,96,18036,1709129,416046
18138,96,18138,1840985,547902
18239,96,18238,1532671,239588
18341,96,18340,1829663,536580
18441,96,18440,1514179,221096
18541,96,18541,1571540,278457
18642,96,18641,1820567,527484
18742,96,18742,1694789,401706
18842,96,18842,1744980,451897
18943,96,18943,1508367,215284
19044,96,19043,1909892,616809
19144,96,19143,1680449,387366
19244,96,19244,1508367,215284
19346,96,19345,894513,0
19447,96,19446,1359884,66801
19547,96,19547,1683997,390914
19647,96,19647,1044372,0
19748,96,19747,1114190,0
19849,96,19848,984528,0
19950,96,19949,1527215,234132
20049,96,20048,1079281,0
20149,96,20149,1039375,0
20250,96,20249,874803,0
20350,96,20349,1061400,0
20450,96,20449,1091322,0
20557,96,20556,1021504,0
20656,96,20655,1051052,0
20759,96,20758,1076361,0
20858,96,20857,1827270,534187
20954,96,20953,956797,0
21054,96,21053,1001880,0
