Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
9,100,8,2644670,1638639
97,100,96,2347007,1340976
190,100,189,3555113,2549082
287,100,286,2268148,1262117
388,100,387,1519514,513483
488,100,487,670915,0
588,100,587,1033075,27044
689,100,688,895213,0
789,100,788,1032837,26806
889,100,889,874771,0
991,100,990,772992,0
1091,100,1090,731049,0
1192,100,1191,705427,0
1293,100,1292,698947,0
1393,100,1392,628703,0
1510,100,1507,748595,0
1608,100,1605,795295,0
1707,100,1704,865981,0
1806,100,1804,833338,0
1910,100,1907,769273,0
2010,100,2007,815141,0
2116,100,2112,699003,0
2215,100,2211,758887,0
2312,100,2309,865981,0
2413,100,2410,742516,0
2514,100,2511,809407,0
2619,100,2616,732967,0
2715,100,2711,802720,0
2809,100,2807,1916940,910909
2904,100,2903,1939525,933494
3008,100,3006,1667529,661498
3114,100,3111,758096,0
3215,100,3212,869656,0
3317,100,3314,826343,0
3416,100,3413,933803,0
3518,100,3515,861289,0
3617,100,3613,1061568,55537
3717,100,3715,924019,0
3820,100,3817,841766,0
3925,100,3922,762127,0
4022,100,4019,1002816,0
4122,100,4119,930585,0
4223,100,4220,892317,0
4324,100,4321,872445,0
4425,100,4421,876678,0
4527,100,4523,942170,0
4630,100,4627,788047,0
4732,100,4728,763747,0
4832,100,4829,773467,0
4926,100,4923,1445007,438976
5017,100,5016,2103363,1097332
5118,100,5117,2074683,1068652
5218,100,5217,2209373,1203342
5318,100,5318,1846781,840750
5419,100,5418,797649,0
5520,100,5519,755233,0
5620,100,5619,677802,0
5722,100,5721,644325,0
5822,100,5821,659948,0
5923,100,5922,661064,0
6036,100,6033,765451,0
6137,100,6134,770345,0
6240,100,6237,716767,0
6331,100,6329,1598542,592511
6436,100,6433,894757,0
6541,100,6538,677887,0
6643,100,6639,754027,0
6741,100,6738,731049,0
6839,100,6836,830610,0
6944,100,6941,750787,0
7044,100,7041,786427,0
7146,100,7142,741067,0
7241,100,7238,1370762,364731
7343,100,7340,842400,0
7447,100,7445,973267,0
7546,100,7543,889179,0
7650,100,7647,742516,0
7751,100,7748,983023,0
7840,100,7839,2342313,1336282
7942,100,7940,1692269,686238
8046,100,8043,1139679,133648
8146,100,8144,1525218,519187
8245,100,8242,1614722,608691
8345,100,8343,763388,0
8448,100,8446,963279,0
8550,100,8547,805358,0
8652,100,8649,788385,0
8756,100,8753,809407,0
8857,100,8853,691646,0
8960,100,8957,833204,0
9066,100,9062,819388,0
9164,100,9160,701235,0
9262,100,9258,765367,0
9360,100,9357,835670,0
9461,100,9458,779710,0
9562,100,9558,842664,0
9665,100,9661,763747,0
9761,100,9758,880812,0
9865,100,9861,891968,0
9961,100,9959,1375749,369718
10061,100,10058,1280996,274965
10161,100,10159,986762,0
10268,100,10264,740447,0
10367,100,10363,863649,0
10467,100,10463,800695,0
10567,100,10563,849659,0
10669,100,10665,817052,0
10769,100,10765,817016,0
10869,100,10866,847328,0
10971,100,10967,818963,0
11072,100,11068,868313,0
11173,100,11169,875786,0
11272,100,11268,858986,0
11378,100,11372,759813,0
11478,100,11473,826608,0
11578,100,11574,820874,0
11674,100,11670,936592,0
11777,100,11773,765451,0
11878,100,11874,889179,0
11978,100,11974,858500,0
12073,100,12071,1121412,115381
12177,100,12174,868204,0
12272,100,12269,1905613,899582
12372,100,12370,1417510,411479
12470,100,12468,1394598,388567
12576,100,12573,861638,0
12673,100,12671,1261294,255263
12774,100,12772,1031645,25614
12875,100,12872,986762,0
12978,100,12974,1051593,45562
13076,100,13073,1120105,114074
13178,100,13175,881337,0
13280,100,13277,844555,0
13382,100,13379,805358,0
13476,100,13474,1710082,704051
13581,100,13579,749729,0
13684,100,13681,814685,0
13783,100,13780,822243,0
13888,100,13884,689227,0
13985,100,13982,897546,0
14095,100,14091,914169,0
14180,100,14178,1659891,653860
14281,100,14279,1093056,87025
14386,100,14383,881337,0
14487,100,14484,797142,0
14591,100,14586,841939,0
14637,100,14634,1111438,105407
14740,100,14737,1029081,23050
14839,100,14836,1216165,210134
14943,100,14940,976550,0
15038,100,15036,1566680,560649
15132,100,15131,878054,0
15231,100,15230,730745,0
15331,100,15330,715147,0
15444,100,15441,700238,0
15545,100,15542,792207,0
15642,100,15640,861289,0
15742,100,15740,882927,0
15846,100,15843,841149,0
15949,100,15946,754027,0
16047,100,16044,875308,0
16148,100,16146,1094745,88714
16252,100,16250,569127,0
16354,100,16353,556740,0
16453,100,16451,598791,0
16553,100,16551,661745,0
16657,100,16654,574860,0
16753,100,16751,596063,0
16855,100,16853,580137,0
16956,100,16954,615112,0
17058,100,17056,638429,0
17150,100,17149,1633277,627246
17250,100,17249,946708,0
17351,100,17350,881877,0
17451,100,17450,956683,0
17554,100,17553,699321,0
17656,100,17655,656596,0
17755,100,17754,764985,0
17858,100,17857,598791,0
17962,100,17961,496799,0
18061,100,18059,548104,0
18161,100,18158,897526,0
18266,100,18262,766987,0
18364,100,18360,815141,0
18467,100,18463,724867,0
18566,100,18563,815141,0
18667,100,18663,776918,0
18761,100,18759,1499223,493192
18861,100,18859,2032736,1026705
18961,100,18959,1392871,386840
19065,100,19063,1237658,231627
19166,100,19164,928225,0
19268,100,19266,810021,0
19370,100,19367,856654,0
19470,100,19467,735409,0
19571,100,19568,808298,0
19673,100,19670,815285,0
19773,100,19770,824011,0
19874,100,19871,796029,0
19981,100,19978,697505,0
20078,100,20073,799852,0
20177,100,20174,759717,0
20278,100,20274,784373,0
20378,100,20375,733077,0
20478,100,20475,807690,0
20579,100,20576,831006,0
20683,100,20678,741067,0
20776,100,20772,1542256,536225
20877,100,20874,1046606,40575
20980,100,20977,894757,0
21082,100,21079,803026,0
21183,100,21180,828519,0
21286,100,21282,828675,0
21388,100,21385,770076,0
21488,100,21484,785365,0
21586,100,21582,851991,0
21692,100,21689,801706,0
21789,100,21786,771032,0
21887,100,21884,844996,0
21989,100,21985,799931,0
22092,100,22088,797940,0
22190,100,22186,825032,0
22298,100,22293,762127,0
22392,100,22389,800695,0
22492,100,22489,883601,0
22597,100,22592,803674,0
22696,100,22692,820429,0
22795,100,22791,849659,0
22900,100,22897,788047,0
22996,100,22993,907951,0
23098,100,23094,800695,0
23197,100,23194,863649,0
23299,100,23296,790296,0
23401,100,23397,781567,0
23503,100,23499,729727,0
23603,100,23600,760507,0
23701,100,23697,889297,0
23803,100,23799,865981,0
23906,100,23902,711907,0
24003,100,24000,858986,0
24107,100,24103,792756,0
24206,100,24202,851991,0
24309,100,24305,765367,0
24400,100,24397,1735697,729666
24503,100,24500,1146347,140316
24606,100,24603,856475,0
24706,100,24703,914169,0
24806,100,24803,937152,0
24910,100,24906,793700,0
25011,100,25007,877639,0
25114,100,25110,734872,0
25213,100,25209,801763,0
25315,100,25311,725316,0
25416,100,25412,809407,0
25519,100,25516,662179,0
25616,100,25613,782651,0
25716,100,25712,879971,0
25820,100,25816,708115,0
25919,100,25915,799852,0
26016,100,26013,875234,0
26118,100,26115,826343,0
26220,100,26217,776918,0
26321,100,26318,817016,0
26418,100,26415,905913,0
26524,100,26520,711938,0
26622,100,26619,869656,0
26929,100,26924,752072,0
27636,100,27632,666643,0
28183,100,28180,710287,0
28690,100,28687,640359,0
29095,100,29090,666643,0
29392,100,29388,721627,0
29593,100,29589,729727,0
29696,100,29691,749167,0
29795,100,29791,809107,0
29893,100,29889,766866,0
29998,100,29993,789667,0
30086,100,30084,2011226,1005195
30178,100,30177,1107794,101763
30279,100,30278,1327309,321278
30380,100,30378,808363,0
30480,100,30479,753613,0
30580,100,30579,685613,0
30681,100,30680,680033,0
30782,100,30781,696771,0
30882,100,30881,675570,0
30983,100,30982,691192,0
31100,100,31097,661064,0
31199,100,31196,808007,0
31298,100,31295,766987,0
31399,100,31396,682747,0
31502,100,31499,744307,0
31601,100,31598,784807,0
31703,100,31700,758887,0
31803,100,31800,807496,0
31898,100,31896,894470,0
31997,100,31994,856841,0
32100,100,32095,856841,0
32191,100,32191,1136474,130443
32296,100,32294,1080705,74674
32398,100,32396,1091490,85459
