Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
40,99,38,2786192,1870780
134,99,133,2763677,1848265
236,99,235,3292773,2377361
340,99,335,3315287,2399875
436,99,436,1958777,1043365
537,99,536,1739259,823847
637,99,636,864921,0
738,99,737,865981,0
839,99,838,775525,0
940,99,939,764217,0
1040,99,1039,925803,10391
1141,99,1140,749605,0
1243,99,1242,782773,0
1344,99,1343,767425,0
1444,99,1443,818413,0
1546,99,1545,630698,0
1646,99,1645,470507,0
1749,99,1748,472739,0
1847,99,1847,555508,0
1948,99,1947,519480,0
1998,99,1998,487468,0
2100,99,2099,567222,0
2201,99,2200,487889,0
2302,99,2301,491709,0
2402,99,2401,531252,0
2502,99,2502,536112,0
2603,99,2602,540972,0
2704,99,2704,469391,0
2804,99,2803,952128,36716
2905,99,2904,572555,0
3006,99,3005,547452,0
3106,99,3105,573717,0
3206,99,3206,568289,0
3307,99,3306,1093819,178407
3407,99,3407,722327,0
3508,99,3507,823643,0
3608,99,3608,629291,0
3709,99,3709,483898,0
3810,99,3809,557517,0
3910,99,3910,609603,0
4010,99,4010,853632,0
4112,99,4111,575202,0
4212,99,4212,633312,0
4313,99,4312,547408,0
4415,99,4414,464928,0
4515,99,4514,514620,0
4615,99,4614,525512,0
4716,99,4716,542592,0
4816,99,4816,464400,0
4917,99,4916,563393,0
5018,99,5017,690888,0
5119,99,5118,748569,0
5219,99,5218,950949,35537
5320,99,5319,519704,0
5420,99,5419,524772,0
5521,99,5520,526392,0
5624,99,5623,495096,0
5723,99,5722,505332,0
5824,99,5823,497232,0
5924,99,5924,468072,0
6025,99,6024,539352,0
6125,99,6125,505332,0
6226,99,6225,533157,0
6327,99,6327,394156,0
6427,99,6426,458877,0
6528,99,6526,668785,0
6627,99,6626,756684,0
6745,99,6742,711771,0
6834,99,6832,1655021,739609
6938,99,6935,1054881,139469
7039,99,7036,933868,18456
7142,99,7139,826343,0
7242,99,7240,845720,0
7343,99,7340,796029,0
7444,99,7441,841897,0
7542,99,7540,908702,0
7643,99,7640,889179,0
7744,99,7742,840333,0
7844,99,7841,914280,0
7946,99,7943,821680,0
8048,99,8045,832341,0
8150,99,8147,759717,0
8247,99,8245,805358,0
8341,99,8340,968131,52719
8443,99,8441,1131363,215951
