Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
90,44,89,2671066,1877844
149,44,146,3760174,2966952
241,44,240,3952812,3159590
290,44,289,2468086,1674864
391,44,390,2909151,2115929
491,44,490,1417115,623893
591,44,590,1486668,693446
691,44,690,1638381,845159
791,44,790,1236856,443634
892,44,891,1170763,377541
992,44,991,1086503,293281
1094,44,1093,882035,88813
1194,44,1193,639190,0
1294,44,1294,715119,0
1408,44,1405,805536,12314
1513,44,1509,695656,0
1608,44,1606,809407,16185
1710,44,1707,784373,0
1809,44,1806,875308,82086
1912,44,1909,775065,0
2009,44,2006,953326,160104
2112,44,2109,849659,56437
2213,44,2210,723750,0
2316,44,2311,704293,0
2414,44,2411,813586,20364
2516,44,2513,765451,0
2615,44,2612,793700,478
2719,44,2716,737827,0
2811,44,2809,1475489,682267
2913,44,2911,1239444,446222
3012,44,3010,2018396,1225174
3113,44,3111,1358747,565525
3215,44,3212,1387428,594206
3314,44,3311,1287046,493824
3417,44,3413,1056580,263358
3518,44,3516,884620,91398
3619,44,3616,914280,121058
3721,44,3718,884634,91412
3821,44,3818,911491,118269
3921,44,3918,917069,123847
4023,44,4020,763388,0
4121,44,4118,992966,199744
4219,44,4217,1146347,353125
4323,44,4321,887904,94682
4425,44,4422,880812,87590
4528,44,4525,778559,0
4632,44,4629,699003,0
4730,44,4726,803674,10452
4832,44,4828,784807,0
4929,44,4926,946051,152829
5022,44,5021,1968205,1174983
5123,44,5122,1831973,1038751
5228,44,5225,1373555,580333
5318,44,5317,1760272,967050
5419,44,5418,1048678,255456
5522,44,5520,835997,42775
5636,44,5632,676686,0
5731,44,5729,861318,68096
5829,44,5827,894470,101248
5932,44,5929,800695,7473
6038,44,6035,739447,0
6136,44,6133,893961,100739
6242,44,6237,749167,0
6333,44,6331,1410658,617436
6441,44,6437,775047,0
6541,44,6537,784562,0
6642,44,6638,810021,16799
6739,44,6736,1071763,278541
6838,44,6836,956851,163629
6939,44,6936,1116425,323203
7037,44,7035,1086503,293281
7140,44,7137,864921,71699
7243,44,7240,844996,51774
7338,44,7334,2273904,1480682
7438,44,7435,2287289,1494067
7540,44,7538,1343333,550111
7632,44,7631,914641,121419
7733,44,7732,834067,40845
7833,44,7832,735735,0
7933,44,7932,762127,0
8033,44,8032,1098860,305638
8134,44,8134,1687497,894275
8235,44,8234,997661,204439
8335,44,8335,973397,180175
8455,44,8451,775442,0
8543,44,8541,1534838,741616
8644,44,8642,1203748,410526
8745,44,8743,1437618,644396
8848,44,8845,1279876,486654
8947,44,8944,1146347,353125
9054,44,9051,837874,44652
9156,44,9152,741866,0
9257,44,9253,741067,0
9354,44,9350,841766,48544
9451,44,9448,1111438,318216
9551,44,9549,1211178,417956
9655,44,9651,901036,107814
9755,44,9751,1061568,268346
9860,44,9856,830610,37388
9953,44,9950,1475489,682267
10056,44,10053,833399,40177
10161,44,10157,769273,0
10260,44,10256,844555,51333
10358,44,10355,996249,203027
10460,44,10458,844555,51333
10562,44,10558,772715,0
10660,44,10657,930585,137363
10765,44,10762,747547,0
10868,44,10863,754027,0
10965,44,10962,780740,0
11066,44,11063,769273,0
11169,44,11165,715147,0
11267,44,11263,838075,44853
11366,44,11363,883601,90379
11465,44,11462,996249,203027
11568,44,11564,891968,98746
11671,44,11667,828519,35297
11775,44,11770,710027,0
11873,44,11869,778829,0
11972,44,11969,861318,68096
12074,44,12070,797940,4718
12174,44,12170,807690,14468
12268,44,12265,1936909,1143687
12369,44,12367,1587116,793894
12467,44,12465,1093454,300232
12567,44,12565,1086284,293062
12669,44,12666,1165155,371933
12770,44,12767,1031645,238423
12870,44,12868,1006710,213488
12973,44,12970,881337,88115
13075,44,13072,755307,0
13175,44,13172,960134,166912
13275,44,13272,878054,84832
13378,44,13375,796031,2809
13472,44,13470,1803293,1010071
13576,44,13573,838656,45434
13680,44,13677,812353,19131
13781,44,13778,872445,79223
13879,44,13877,960134,166912
13981,44,13977,894470,101248
14081,44,14078,927302,134080
14181,44,14178,858500,65278
14283,44,14280,824011,30789
14388,44,14385,734587,0
14486,44,14483,818963,25741
14585,44,14582,894757,101535
14681,44,14679,1181256,388034
14785,44,14782,864921,71699
14886,44,14883,887904,94682
14985,44,14983,992966,199744
15085,44,15082,1121412,328190
15186,44,15183,1041619,248397
15287,44,15284,1126399,333177
15386,44,15383,1151334,358112
15487,44,15484,1141360,348138
15587,44,15584,1058804,265582
15694,44,15690,891624,98402
15792,44,15789,1065522,272300
15894,44,15890,969984,176762
15994,44,15990,1025798,232576
16094,44,16091,960134,166912
16192,44,16190,981775,188553
16242,44,16240,1267883,474661
16348,44,16345,910748,117526
16452,44,16449,765255,0
16551,44,16547,815141,21919
16649,44,16646,878054,84832
16748,44,16745,986400,193178
16849,44,16847,864921,71699
16956,44,16947,1218290,425068
17052,44,17048,856654,63432
17150,44,17148,933868,140646
17251,44,17248,845222,52000
17353,44,17350,861289,68067
17452,44,17449,894470,101248
17553,44,17550,855072,61850
17659,44,17654,814685,21463
17753,44,17750,1002816,209594
17853,44,17850,976550,183328
17957,44,17953,865981,72759
18060,44,18057,759717,0
18159,44,18156,800695,7473
18260,44,18257,863649,70427
18362,44,18358,830430,37208
18465,44,18461,760507,0
18565,44,18561,836346,43124
18657,44,18655,1925185,1131963
18755,44,18753,1761675,968453
18861,44,18858,1067984,274762
18962,44,18959,940435,147213
19064,44,19060,976550,183328
19169,44,19165,802255,9033
19265,44,19262,886390,93168
19364,44,19360,1006710,213488
19464,44,19461,1305931,512709
19569,44,19565,822243,29021
19673,44,19669,753984,0
19772,44,19769,791368,0
19876,44,19871,796029,2807
19976,44,19971,759271,0
20072,44,20068,1106521,313299
20175,44,20170,740072,0
20272,44,20269,966700,173478
20374,44,20371,861289,68067
20466,44,20464,1645551,852329
20573,44,20570,903881,110659
20675,44,20672,831006,37784
20777,44,20773,747067,0
20876,44,20873,719087,0
20982,44,20978,694087,0
21083,44,21079,763747,0
21181,44,21178,749167,0
21282,44,21278,776918,0
21382,44,21378,786705,0
21478,44,21475,940435,147213
21584,44,21580,763539,0
21683,44,21679,790296,0
21785,44,21781,826608,33386
21888,44,21884,784807,0
21989,44,21985,771847,0
22088,44,22084,799852,6630
22188,44,22185,730289,0
22287,44,22284,975932,182710
22389,44,22386,844996,51774
22491,44,22487,819348,26126
22589,44,22586,967271,174049
22691,44,22688,869656,76434
22791,44,22788,903287,110065
22896,44,22892,737827,0
22995,44,22991,792207,0
23094,44,23091,826343,33121
23195,44,23191,879971,86749
23296,44,23293,755895,0
23394,44,23391,822240,29018
23492,44,23490,1211178,417956
23593,44,23590,946866,153644
23699,44,23695,889179,95957
