Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,64,16,871356,130666
67,64,66,2873855,2133165
168,64,167,2768481,2027791
268,64,267,2799240,2058550
370,64,369,2987273,2246583
469,64,468,2234622,1493932
570,64,569,1624152,883462
671,64,670,927774,187084
771,64,770,788385,47695
872,64,871,755647,14957
973,64,972,679920,0
1073,64,1072,947748,207058
1174,64,1173,981287,240597
1275,64,1273,809722,69032
1375,64,1374,922268,181578
1476,64,1475,794279,53589
1576,64,1575,824893,84203
1676,64,1675,771161,30471
1778,64,1776,951697,211007
1878,64,1877,849647,108957
1978,64,1977,852316,111626
2079,64,2078,1045497,304807
2180,64,2179,940907,200217
2280,64,2279,1029553,288863
2381,64,2380,992494,251804
2481,64,2480,842664,101974
2583,64,2582,926604,185914
2682,64,2681,1941891,1201201
2783,64,2782,1092400,351710
2883,64,2882,959410,218720
2984,64,2983,1112805,372115
3084,64,3083,1401539,660849
3185,64,3184,1103219,362529
3286,64,3285,1110698,370008
3386,64,3385,886639,145949
3488,64,3487,1208036,467346
3588,64,3588,745286,4596
3688,64,3688,1072869,332179
3789,64,3788,745151,4461
3889,64,3889,963439,222749
3990,64,3989,740454,0
4091,64,4090,573115,0
4192,64,4192,568512,0
4292,64,4291,784684,43994
4392,64,4392,782784,42094
4493,64,4492,693042,0
4593,64,4593,671878,0
4694,64,4693,664077,0
4794,64,4794,626804,0
4896,64,4896,652608,0
4996,64,4995,587132,0
5096,64,5095,751852,11162
5197,64,5196,870048,129358
5297,64,5296,1034398,293708
5397,64,5396,1109203,368513
5497,64,5496,969566,228876
5598,64,5597,1497927,757237
5699,64,5698,1365355,624665
5799,64,5798,1453044,712354
5899,64,5899,1198706,458016
5999,64,5999,1435173,694483
6100,64,6099,1283486,542796
6201,64,6200,1451974,711284
6301,64,6301,1453044,712354
6403,64,6403,1207848,467158
6504,64,6503,1608972,868282
6604,64,6604,1218907,478217
6706,64,6705,1024787,284097
6805,64,6805,1530553,789863
6906,64,6905,880288,139598
7006,64,7006,834917,94227
7107,64,7106,954605,213915
7208,64,7207,725587,0
7308,64,7308,736547,0
7409,64,7409,640949,0
7509,64,7508,662927,0
7610,64,7609,655305,0
7711,64,7710,687771,0
7811,64,7810,899596,158906
7911,64,7911,1366806,626116
8012,64,8011,1121254,380564
8112,64,8111,989515,248825
8212,64,8212,1159073,418383
8313,64,8312,1001566,260876
8413,64,8413,1184008,443318
8514,64,8513,974553,233863
8614,64,8613,999852,259162
8715,64,8714,1331741,591051
8815,64,8814,1237931,497241
8915,64,8915,1078540,337850
9016,64,9015,1385117,644427
9116,64,9116,1453800,713110
9217,64,9216,1245867,505177
9317,64,9316,980573,239883
