Time  [ms],Battery Remaining (%) [%],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
5,99,4,2869414,1969448
77,99,75,2885559,1985593
183,99,182,2704507,1804541
276,99,275,2695050,1795084
378,99,377,2409927,1509961
478,99,477,2586051,1686085
578,99,577,1318803,418837
679,99,678,1030046,130080
781,99,780,1048036,148070
880,99,879,1107880,207914
981,99,981,1002511,102545
1081,99,1080,1182685,282719
1181,99,1181,943309,43343
1285,99,1284,778738,0
1383,99,1382,908400,8434
1484,99,1483,1077958,177992
1585,99,1584,780915,0
1685,99,1684,705097,0
1785,99,1784,775525,0
1886,99,1885,715119,0
1986,99,1985,1026270,126304
2086,99,2085,906420,6454
2187,99,2186,791159,0
2287,99,2286,735793,0
2404,99,2401,759325,0
2503,99,2500,794196,0
2600,99,2597,901036,1070
2708,99,2704,864594,0
2805,99,2802,846789,0
2904,99,2901,850133,0
3000,99,2998,2154628,1254662
3092,99,3091,1530829,630863
3193,99,3192,1162539,262573
3297,99,3296,1077958,177992
3395,99,3394,1546737,646771
